title,year,rank,imdb_id
Spider-Man: No Way Home,2021,196,tt10872600
How to Train Your Dragon,2010,197,tt0892769
Gone Girl,2014,198,tt2267998
"Monsters, Inc.",2001,199,tt0198781
Jaws,1975,200,tt0073195
In the Name of the Father,1993,201,tt0107207
Ford v Ferrari,2019,202,tt1950186
The Gold Rush,1925,203,tt0015864
Wild Tales,2014,204,tt3011894
Sherlock Jr.,1924,205,tt0015324
Mary and Max,2009,206,tt0978762
The Deer Hunter,1978,207,tt0077416
The Wages of Fear,1953,208,tt0046268
The General,1926,209,tt0017925
Logan,2017,210,tt3315342
Mr. Smith Goes to Washington,1939,211,tt0031679
Rocky,1976,212,tt0075148
On the Waterfront,1954,213,tt0047296
Tokyo Story,1953,214,tt0046438
Wild Strawberries,1957,215,tt0050986
Pirates of the Caribbean: The Curse of the Black Pearl,2003,216,tt0325980
Spotlight,2015,217,tt1895587
The Third Man,1949,218,tt0041959
La haine,1995,219,tt0113247
Maharaja,2024,220,tt26548265
Jai Bhim,2021,221,tt15097216
The Terminator,1984,222,tt0088247
The Big Lebowski,1998,223,tt0118715
The Sound of Music,1965,224,tt0059742
A Silent Voice: The Movie,2016,225,tt5323662
The Best Years of Our Lives,1946,226,tt0036868
The Seventh Seal,1957,227,tt0050976
Room,2015,228,tt3170832
Hotel Rwanda,2004,229,tt0395169
Platoon,1986,230,tt0091763
Before Sunset,2004,231,tt0381681
The Incredibles,2004,232,tt0317705
Chainsaw Man - The Movie: Reze Arc,2025,233,tt30472557
The Exorcist,1973,234,tt0070047
Hachi: A Dog's Tale,2009,235,tt1028532
Rush,2013,236,tt1979320
The Wizard of Oz,1939,237,tt0032138
Stand by Me,1986,238,tt0092005
The Passion of Joan of Arc,1928,239,tt0019254
The Iron Giant,1999,240,tt0129167
My Father and My Son,2005,241,tt0476735
The Battle of Algiers,1966,242,tt0058946
The Handmaiden,2016,243,tt4016934
Network,1976,244,tt0074958
Gangs of Wasseypur,2012,245,tt1954470
Drishyam,2015,246,tt4430212
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,247,tt11032374
The Grapes of Wrath,1940,248,tt0032551
Lost Ladies,2023,249,tt21626284
To Be or Not to Be,1942,250,tt0035446
