citation_number,gt_key,control_key,control_cat,v2_key,v2_cat,v3_key,v3_cat
95,DBLP:journals/tnn/PuYZ17,Zhou2017,CM,Pu2017,PM,Zhou2017,PM
96,DBLP:journals/biodb/NgHTT17,Tsai2017,IM,Ng2017,PM,Tsai2017,PM
97,DBLP:journals/biodb/MaoCCJSWKQYZCF19,,NF,Mao2019,PM,Fan2019,PM
98,DBLP:journals/nar/BlakeEKRSBG17,,NF,Blake2017,PM,Group2017,PM
99,DBLP:journals/biodb/DennisULMLGJ19,,NF,Dennis2019,PM,Jones2019,PM
100,DBLP:journals/jcal/SpikolRDC18,Spikol2018,IM,Spikol2018,PM,Cukurova2018,PM
101,DBLP:journals/biodb/HeithoffTLBGFDP19,Fox2019,IM,Heithoff2019,PM,Fox2019,PM
102,DBLP:journals/biodb/NecciPT18,,NF,Necci2018,WP,Tosatto2018,PM
103,DBLP:conf/aaai/HoagD18,,NF,Kim2018,WP,Doppa2018,PM
104,DBLP:journals/ile/WuHN20,Nian2020,IM,Wu2020,PM,Nian2020,PM
