citation_number,gt_key,control_key,category,reason
81,DBLP:journals/eninf/WangJSDL25,Lu2025,WP,different paper different author
82,DBLP:journals/cais/KuhlHBSS21,Kuhl2021,PM,all core fields match
83,DBLP:journals/computing/GhasemiT25,Tejani2025,WP,different paper different journal
84,DBLP:journals/algorithms/BoschIVS25,TotalOuter2025,IA,authors listed as Author Unknown
85,DBLP:journals/algorithms/LiLC25,Cai2025,IM,abbreviated author names
86,DBLP:journals/comsur/OlowononiRL21,Olowononi2021,WP,arXiv preprint vs published journal (different venue type)
87,DBLP:journals/jss/NtentosWZ25,Warnett2024,WP,different paper different title
88,DBLP:journals/bib/ShenHWZZWYXCH21,,NF,entry not found
89,DBLP:conf/igarss/GuigalBCVBMM24,Ngom2024,WP,completely different paper
90,DBLP:journals/algorithms/PantLR25,Pant2025,PM,all core fields match
91,DBLP:journals/idt/LichodeK25,Lichode2025,IM,missing number and pages
92,DBLP:journals/access/EssaCH23,,NF,entry not found
93,DBLP:journals/cor/LiuHWGZZ25,,NF,entry not found
94,DBLP:journals/access/TrojovskaDT22,Trojovsky2022,CM,different DOI (3172801 vs 3172789)
95,DBLP:journals/tnn/PuYZ17,Zhou2017,PM,all core fields match (minor name hyphenation)
96,DBLP:journals/biodb/NgHTT17,Tsai2017,IA,missing one author plus Author Unknown
97,DBLP:journals/biodb/MaoCCJSWKQYZCF19,,NF,entry not found
98,DBLP:journals/nar/BlakeEKRSBG17,,NF,entry not found
99,DBLP:journals/biodb/DennisULMLGJ19,,NF,entry not found
100,DBLP:journals/jcal/SpikolRDC18,Spikol2018,PM,all core fields match
101,DBLP:journals/biodb/HeithoffTLBGFDP19,Fox2019,IM,missing pages
102,DBLP:journals/biodb/NecciPT18,,NF,entry not found
103,DBLP:conf/aaai/HoagD18,,NF,entry not found
104,DBLP:journals/ile/WuHN20,Nian2020,IM,journal field corrupted (Author Unknown) - treating as IM
