!b 本来
!B 宝宝
!g 个个
!G 外公
!H 好像
!L 劳动
!M 帽子
!N 农民
!P 外婆
!Q 确实
!r 任何
!R 容易
!s 生命
!S 搜索
!W 外国
!y 以上
!z 支持
*A 爱因斯坦 爱国主义 按劳分配
*B 剥削阶级 半殖民地 不可避免
*d 调查研究 帝国主义
*G 共产主义 国际形势 工人阶级
*j 经济效益 精神文明 经济体制
*l 劳动人民 另一方面 另谋出路
*m 人民群众
jQ 郊区 健全
jr 家人 惊人
jR 金融 鸡肉
jS 技术 就算 接受
jT 交通 系统
jX 继续 教学
jY 经验 教育 家用
jZ 建筑 集中
J' 决定
J` 聚会
J~ 聚集
Jb 具备 剧本
Jc 决策 君臣
Jd 决定 绝顶
Je 巨额
Jf 绝非
Jg 举个
Jh 均衡
Ji 我感觉
Jj 聚集
Jl 举例 距离
Jm 居民
Jn 拘泥
Jq 剧情 举起
Jr 军人
Js 军事 举世
Jt 具体
Ju 据说
Jw 军委
JW 据我 局外
Jx 举行
Jy 军医
Jz 君子 句子
k' 可以
k. 可惜
k; 可是
k` 可爱的
k~ 可怜的
ka 可爱
kb 可悲
kc 课程
kd 肯定
kD 可对 可多 蝌蚪
ke 克尔
kf 可分
kg 可渴
kh 可和
ki 不知道
kj 科技
kl 可怜
km 可没 空明码
kn 可能
ko 肯定
kp 可否
kq 客气 铿锵
kr 客人
ks 可是
kS 咳嗽
kt 课题
ku 都可以
kw 课文
kx 可惜 可喜 可行
ky 可以
kz 可曾 克制
K' 开始
K* 看好
K@ 看一下
K_ 看一看
K` 空明码
K~ 空明码并击
K0 开车
K2 看起来
K4 看不懂
K7 空气
K8 开始
K9 看见
KA 抗癌 狂傲
KM 开幕 快码
KN 困难 苦难
Kr 抗日 看人
KR 快如 宽容
KZ 空中 枯燥
l' 流程
l* 理解
l@ 领导
l_ 临时
l` 例子
l~ 例如
l0 联系
l7 里面
l8 了解
l9 历史
lA 两岸 立案
lH 厉害
lN 两难 冷暖
lP 离谱 流派
lR 例如 利润 列入
lS 流水 脸上 联手
lW 两万
L' 老师
L0 老板
L7 劳动
L8 老婆
L9 论坛
LM 罗马 浪漫
LR 录入 输入
LS 老鼠 庐山 楼上
m' 没有
m: 免费
m; 没有
m_ 每个人都
m` 每个人
m~ 明天 每一个 每天都 每一次
m0 面包
m2 每个人
m4 没有问题
m7 明确
m8 明白
m9 命令
mA 免安装
mm 明明 冥冥 秘密 妹妹 美美 美媚
mN 美女
M' 目的
M` 矛盾
MA 母爱
MD 矛盾 牡丹
Me 摩尔
MF 模范 模仿
MH 模糊 幕后 漫画
MJ 募捐 模具
MK 模块 满口
MM 盲目 卖买
Mn 模拟
MN 母女 卖弄
MO 木偶
MP 冒泡
MS 马上 没收
MT 馒头 埋头
MW 目无
MZ 满足 某种
n' 可能
n@ 逆天者亡
n_ 逆天改命
n` 腊八粥
n~ 鸟语花香
n0 宁愿
n7 你的
n8 昵称
n9 匿名
nA 你爱 溺爱 您爱
nB 内部 能不
nE 你饿 你耳
nJ 凝聚 年均
nN 牛奶 袅娜
nO 你哦
np 牛皮
nQ 你去
nW 内外 你我
nY 能源 鸟语
nZ 年终
N' 南方
N@ 男孩
N_ 女孩
N` 女人
N~ 男人
N0 哪些
N7 那个
N8 那么
N9 哪里
NC 农村
ND 难道 难度
Ne 女儿 男儿 哪儿
NG 那该 哪管
NH 南海 怒火 农活
NL 哪来 拿来
NM 那么
NN 男女 奶奶
NQ 女权 男权
NR 纳入 难入 懦弱
NT 难逃 那他
Ny 农业 难以
NY 那样 哪有
o' 效率
oa 上午
ob 表示
oB 并且
oc 成功
oC 出来
od 电脑
oD 当时
oe 而且
oE 或者
of 发现
oF 发生
og 国家
oG 关系
oh 社会
oH 回来
oi 技术
oj 自己
oJ 精神
ok 可以
oK 开发
ol 管理
oL 辣椒
om 我的
oM 没有
on 你的
oN 那么
oo 眼睛
oO 容易
oP 排名
oq 今天
oQ 情况
or 如果
oR 让人
os 时间
oS 事情
ot 问题
oT 他的
ou 以为
ov 建设
oV 简单
ow 唯一
oW 服务
ox 休息
oX 先生
oy 因此
oY 研究
oz 知道
oZ 政府
O' 偶尔
OD 殴打
Oe 偶尔
OF 偶发
Oi 为了
Oj 偶见
OM 欧姆
OO 哦哦
OP 欧普
OR 偶然
Os 操作系统
OS 偶数
OT 呕吐
Ou 偶尔
Ox 偶像
Oy 偶遇
OY 欧阳
Oz 制度
OZ 欧洲
p' 朋友
p0 苹果
p7 平时
p8 平均
p9 贫穷
pA 平安
pe 配额 陪儿
ps 平时 批图
P' 普通
PA 拍案
PD 判断
PH 彷徨 徘徊
Pj 普及
PK 比比 比试 比武
PM 拍卖
Pn 叛逆
PN 跑哪
PP 拍拍 啪啪
PR 判若 骗人
PW 盼望
q! 恰恰
q* 巧克力
q: 强大
q? 前途
q` 程度 青松
q~ 取消 其他
q< 亲戚
q0 前面
q2 亲朋好友
q4 前因后果
q7 前进
q8 其实
q9 情况
qA 亲爱的
qB 情报 起步
qC 清楚 青春 钦差
qD 强大 强渡
qF 前方 潜伏
qG 奇怪 强国 抢购
qH 期货 强化
qJ 千军
qK 情况
qL 起来 侵略 前来
qM 期末
qN 倩女 擒拿
qO 轻轻
qP 起跑 强迫
qQ 钱权
qR 嵌入 悄然
qS 轻松 青山
qT 前途
qV 强身
qW 千万 前往
qX 谦虚 情绪
qY 前言 前沿
qZ 其中
Q2 全部都
Q4 去中心化
Qa 钱啊 权啊
Qb 区别
Qc 全程
Qd 确定 取得
Qe 全额
Qf 区分
Qg 去个
Qh 权衡
Qi 前五百
Qj 全家 区间
Qk 全科
Ql 权利 权力
Qm 全面 全民
Qn 去年 全能 全年
Qp 全拼 全票
Qq 全球 权钱
Qr 确认
Qs 确实 全身
QS 泉水 全速
Qt 全体 群体 躯体
Qu 趋势
Qw 全文 权威
Qx 权限 取消 全新
Qy 区域 权益
Qz 全责 全职
r' 人民
r` 人类 日本
r~ 任务
r0 人才
r2 人身攻击
r4 人民群众
r7 热门
r8 热闹
r9 认为
rA 热爱
rb 日本
rc 日程 人称
rd 热点 人的
re 任尔
rE 热情
rf 热风 人疯
rh 任何
ri 我觉得
rj 人间 人际
rl 人类
rL 日落
rm 人民
rM 人脉
rn 任你
rN 热闹
ro 人员
rO 人品
rp 任凭 人品
rq 人气
rr 人人 日日
rR 仍然
rt 人体
ru 入手
rv 人们
rw 人为
rW 任务
rx 人性
ry 日夜 仁义
rY 人有 日月
rz 认真
R' 如果
R` 软件开发
R~ 让你感觉
R0 然而
R8 如何
R9 如此
Re 然而
RH 如何
Rm 入门
Rn 让你
RO 入欧 人员
Rr 让人
Rs 弱势 肉食
RS 燃烧
Rw 肉味
RW 让我
RY 荣誉 肉眼 如有
s' 时间
s* 食用
s@ 设计
s` 实现 是不是
s~ 极速 实践
s0 实事
s2 是不是
s4 什么时候
s7 生成
s8 生活
s9 似乎
sA 是啊 涉案
se 视力
sN 神农
sZ 始终 实在
S' 速度
S@ 顺天者昌
S` 伤心 商品
S~ 输入法 速录宝 速录机 速录助手
S0 速录
S7 虽然
S8 熟悉
S9 熟练
Sn 少年 谁能
SR 虽然 速录
t' 条件
t` 田地
t~ 天天
t0 提醒
t2 天天都
t4 天时地利
t7 天气
t8 天空
t9 天地
tA 疼爱 提案
tC 提出 调查
tF 天赋
tG 提供
tH 体会
tJ 听见 添加
tK 天空 调控
tL 铁路 跳楼
tM 题目
tN 挺难
tr 投入
tR 仍然
tS 提速
tT 疼痛
tw 天文 体温
tW 天王 天网 特务
tX 挑选 腾讯
T' 退出
T` 突然
T~ 投入
T0 同志
T7 桃花
T8 同时
T9 同学
TR 突然 投入
TW 台湾 贪污
u' 觉得
uC 除下
uK 空间
uL 老实
uM 目前
uN 哪里
uP 跑步
uR 软件
uT 同在
uX 学习
U` 增加 改革
U~ 只是 几个
Ua 已经
UA 爱国
Ub 不过
UB 不相信
Uc 出来
Ud 知道
UD 多少
Ue 时间
Uf 发展
UF 缘分
Ug 工作
UG 国际
Uh 还是
UH 还有
Ui 怎么
Uj 就是
UJ 基本
Uk 可以
UK 可是
Ul 服务
Um 人民
UM 明天
Un 你们
Uo 身上
Up 问题
UP 跑路
Uq 起来
Ur 什么
Us 时候
Ut 他们
UT 它们
Uu 经济
Uv 政治
Uw 我们
UW 我们要
Ux 现在
UX 需要
Uy 一个
UY 一样
Uz 中国
UZ 民主
v` 民族 具体
v~ 工人 规律
vJ 聚餐
vP 攀比
vS 所有
vT 通过
vY 原来
Va 这点
Vb 这不
Vc 这次
VC 风险
Vg 这个
Vh 这时
Vi 这件
Vj 这就
VJ 君子
Vk 这可
Vl 这里
Vm 这么
VM 怎么
Vn 这你
VN 怎能
VP 葡萄
Vr 这人
Vs 这是
Vu 怎样
Vv 这下
Vw 这我
Vx 这些
Vy 这样
VY 怎样
Vz 这只
VZ 这种
w' 因为
w` 文件夹
w~ 文言文
w0 未来
w2 为的是
w4 为了我们
w7 文件
w8 位置
w9 问问
wA 问安
wb 未必
wc 为此 维持
wd 我的
we 违背
wf 威风 微分
wg 我国
wh 为何
wi 我这样
wj 文件
wk 文科
wl 为了 伪劣
wm 文明
wn 为你
wp 文凭
wq 尾气
wr 伟人
ws 卫生 卫士
wt 问题
wu 我的
ww 慰问 微微
wx 危险
wy 唯一
wz 文字
wZ 文章 违章
W' 我想
W* 我感觉
W: 无线
W@ 我个人
W_ 我知道
W` 我不知道
W~ 我现在
W0 外面
W2 我一直
W4 我不知道
W7 我看
W8 我也
W9 晚上
WA 晚安 我爱
WD 我都 武当 无端
WE 挖矿
Wn 我能 万能 晚年
x' 信心
x! 喜欢 相信
x* 牺牲
x: 行为
x@ 想像
x` 性质
x~ 幸福
x< 相信
x0 希望
x2 现代化
x4 行之有效
x7 现象
x8 小事
x9 形象
xA 西安 心爱
xB 下班 西部
xC 现场 相处
xD 行动 现代
xF 西方 信访
xG 香港 相关
xH 喜欢 相互
xJ 喜剧 细菌
xK 辛苦 显卡
xL 下落 醒来 新浪
xM 项目 相貌
xN 仙女 西南
xO 西欧
xP 胁迫 斜坡 吓破
xQ 兴趣 小区
xR 显然 陷入
xS 销售 携手
xT 心态 系统 相同
xW 希望 相我
xX 小学
xY 相遇 现有 逍遥
xZ 下载 心脏 现状
X' 需要
X` 学习
X~ 学校
X7 学习
X8 继续
X9 需要
Xb 雪崩
Xc 学成
Xd 学弟
Xe 学校
Xf 学费
Xg 寻根
Xj 虚假
Xk 学科 许可
Xl 学历 训练
Xm 学名 选民
Xn 虚拟
Xo 希望
Xp 削平
Xq 需求 学期
Xr 寻人 旭日 血热
XR 虚弱
Xs 学生
Xt 熏天
Xu 小心
Xw 学位
Xx 学习
Xy 学业 血液
Xz 选择
y' 所以
y! 以后 一切
y* 一开始
y? 以为
y@ 一小时
y_ 一个个
y` 一个人 一下
y~ 下来 一样的
y< 以及 艺术
y0 已经
y2 一样的
y4 一不小心
y7 一个
y8 应该
y9 英语
ya 咿呀
yA 阴暗
yB 一般 一步 一波
yF 一幅 依法
yH 遗憾 以后
yN 疑难
yQ 一群 一去 鹰犬
yW 意外 业务
yX 医学 易学
Y' 语言
Y@ 有什么
Y_ 用什么
Y` 有时候
Y~ 有时间
Y0 优先
Y2 有多少
Y4 有的时候
Y7 优势
Y8 运行
Y9 永远
Yn 与你 幼年
z` 指出 质量
z~ 整个 真正
z0 只能
z2 在干嘛
z4 知识分子
z7 指法
z8 执法
z9 怎么
zr 责任 真人
zR 自然 阵容 峥嵘
zW 自我 植物 职务
Z! 总有
Z* 专业
Z@ 最多
Z_ 再也
Z` 最后 作品
Z~ 准备 注意
Z0 作业
Z2 中国的
Z4 中华民族
Z7 周末
Z8 中间
Z9 早上
ZR 载入
ZW 掌握 在我
