index,key,title,year,venue,type
13,conf/assets/DuvalVSLW23,Reimagining Machine Learning&apos;s Role in Assistive Technology by Co-Designing Exergames with Children Using a Participatory Machine Learning Design Probe.,2023,ASSETS,Conference and Workshop Papers
14,journals/jais/PumplunPGB23,Bringing Machine Learning Systems into Clinical Practice: A Design Science Approach to Explainable Machine Learning-Based Clinical Decision Support Systems.,2023,J. Assoc. Inf. Syst.,Journal Articles
15,conf/bigdataconf/ZhengSCKPSMFK24,"Model and Data Management for Machine Learning (M2ML): Integrating Instruments, Edge and HPC for Accelerated Machine Learning.",2024,IEEE Big Data,Conference and Workshop Papers
16,journals/algorithms/LuqueHernandezAAG25,A Comparison of Energy Consumption and Quality of Solutions in Evolutionary Algorithms.,2025,Algorithms,Journal Articles
17,journals/algorithms/KarousosPVV25,Assigning Candidate Tutors to Modules: A Preference Adjustment Matching Algorithm (PAMA).,2025,Algorithms,Journal Articles
18,journals/algorithms/MariettouKT25,Artificial Intelligence and Algorithmic Approaches of Health Security Systems: A Review.,2025,Algorithms,Journal Articles
19,conf/aaaiss/NirenburgKM23,Hybrid Machine Learning/Knowledge Base Systems Learning through Natural Language Dialogue with Deep Learning Models.,2023,AAAI Spring Symposium - MAKE,Conference and Workshop Papers
20,journals/cor/UzunogluGT25,Machine Learning based Algorithm Selection and Genetic Algorithms for serial-batch scheduling.,2025,Comput. Oper. Res.,Journal Articles
21,journals/access/GhoshC25,Fuzzy Enhanced Kidney Tumor Detection: Integrating Machine Learning Operations for a Fusion of Twin Transferable Network and Weighted Ensemble Machine Learning Classifier.,2025,IEEE Access,Journal Articles
22,journals/isj/GhasemaghaeiK25,Ethics in the Age of Algorithms: Unravelling the Impact of Algorithmic Unfairness on Data Analytics Recommendation Acceptance.,2025,Inf. Syst. J.,Journal Articles
23,journals/access/YeapETY25,Neighboring Predictive Gradient Spatio-Temporal Sequencing Algorithm: An Object Sequencing Algorithm for Logical Ordering of Sparse Object Detections.,2025,IEEE Access,Journal Articles
24,conf/icmlt/JonesRM22,Machine Learning in Textual Criticism: An examination of the performance of supervised machine learning algorithms in reconstructing the text of the Greek New Testament.,2022,ICMLT,Conference and Workshop Papers
25,journals/almob/CicherskiLD25,AlfaPang: alignment free algorithm for pangenome graph construction.,2025,Algorithms Mol. Biol.,Journal Articles
26,journals/algorithms/ZhaoTMSL25,An Adaptive Rapidly-Exploring Random Trees Algorithm Based on Cross-Entropy Optimization.,2025,Algorithms,Journal Articles
27,journals/eaai/XieTMH25,Multi-objective decision-making method for road network-level maintenance plans based on Hadamard product and non-dominated sorting genetic Algorithm-III algorithm.,2025,Eng. Appl. Artif. Intell.,Journal Articles
28,journals/algorithms/Wallace23,Testing a New &quot;Decrypted&quot; Algorithm for Plantower Sensors Measuring PM2.5: Comparison with an Alternative Algorithm.,2023,Algorithms,Journal Articles
29,journals/ir/HuXWYZG25,Framework design and empirical analysis of intelligent scheduling system for high-altitude photovoltaic power generation based on mixed optimization of long-nosed raccoon optimization algorithm and black winged kite optimization algorithm (COA-BKA).,2025,Discov. Comput.,Journal Articles
30,journals/ijhci/HuW24,Familiarity Breeds Trust? The Relationship between Dating App Use and Trust in Dating Algorithms via Algorithm Awareness and Critical Algorithm Perceptions.,2024,Int. J. Hum. Comput. Interact.,Journal Articles
31,conf/IEEEscc/AkterSIHKCV23,Exploring the Vulnerabilities of Machine Learning and Quantum Machine Learning to Adversarial Attacks Using a Malware Dataset: A Comparative Analysis.,2023,SSE,Conference and Workshop Papers
32,journals/algorithms/LoudikiK25,A New Algorithm for Computing the Distance and the Diameter in Circulant Graphs.,2025,Algorithms,Journal Articles
33,journals/algorithms/IslamRB25,Marine Predators Algorithm-Based Robust Composite Controller for Enhanced Power Sharing and Real-Time Voltage Stability in DC-AC Microgrids.,2025,Algorithms,Journal Articles
34,journals/algorithms/NassihB25,Breast Cancer Classification Using an Adapted Bump-Hunting Algorithm.,2025,Algorithms,Journal Articles
35,journals/algorithms/MaSXW25,A Linear Regression Prediction-Based Dynamic Multi-Objective Evolutionary Algorithm with Correlations of Pareto Front Points.,2025,Algorithms,Journal Articles
36,journals/ijmms/VicenteMFC25,Machine learning systems as mentors in human learning: A user study on machine bias transmission in medical training.,2025,Int. J. Hum. Comput. Stud.,Journal Articles
37,journals/algorithms/ZhangFFSH25,A Hair Drawing Evaluation Algorithm for Exactness Assessment Method in Portrait Drawing Learning Assistant System.,2025,Algorithms,Journal Articles
38,conf/ukci/NaikN23a,"The Changing Landscape of Machine Learning: A Comparative Analysis of Centralized Machine Learning, Distributed Machine Learning and Federated Machine Learning.",2023,UKCI,Conference and Workshop Papers
39,conf/icarm/Ji0HCYZWGS24,Hybrid Algorithm Research Based on Improved Genetic Algorithm and Auction Algorithm for AUVs Task Allocation.,2024,ICARM,Conference and Workshop Papers
40,journals/algorithms/ShaoZLFJ25,SA-Net: Leveraging Spatial Correlations Spatial-Aware Net for Multi-Perspective Robust Estimation Algorithm.,2025,Algorithms,Journal Articles
41,journals/algorithms/CarcangiuM25,A Training Algorithm for Locally Recurrent Neural Networks Based on the Explicit Gradient of the Loss Function.,2025,Algorithms,Journal Articles
42,journals/algorithms/SittijukPT25,Robust Client Selection Strategy Using an Improved Federated Random High Local Performance Algorithm to Address High Non-IID Challenges.,2025,Algorithms,Journal Articles
43,journals/algorithms/ZhabinetsTLNMK25,Synthetic Data-Based Algorithm Selection for Medical Image Classification Under Limited Data Availability.,2025,Algorithms,Journal Articles
44,journals/ijmi/BelstiMDMSET23,Comparison of machine learning and conventional logistic regression-based prediction models for gestational diabetes in an ethnically diverse population; the Monash GDM Machine learning model.,2023,Int. J. Medical Informatics,Journal Articles
45,conf/isdfs/OzpolatK23,Exploring the Potential of Quantum-Based Machine Learning: A Comparative Study of QSVM and Classical Machine Learning Algorithms.,2023,ISDFS,Conference and Workshop Papers
46,conf/iui/ChiangY22,Exploring the Effects of Machine Learning Literacy Interventions on Laypeople&apos;s Reliance on Machine Learning Models.,2022,IUI,Conference and Workshop Papers
47,journals/anor/JiangJCC22,"The two-stage machine learning ensemble models for stock price prediction by combining mode decomposition, extreme learning machine and improved harmony search algorithm.",2022,Ann. Oper. Res.,Journal Articles
48,journals/algorithms/HamdiKMB25,Comparative Analysis of Artificial Neural Networks and Evolutionary Algorithms in DEA-β-MSV Portfolio Optimization.,2025,Algorithms,Journal Articles
49,journals/idt/SivalingamK25,Pufferfish: Cost-aware based task scheduling algorithm using pufferfish optimization algorithm in cloud computing.,2025,Intell. Decis. Technol.,Journal Articles
50,journals/aghcs/RajasekarKSPZZ22,Ensemble Machine Learning Methods to Predict the Balancing of Ayurvedic Constituents in the Human Body Ensemble Machine Learning Methods to Predict.,2022,Comput. Sci.,Journal Articles
51,journals/jcc/RovenchakD24,Machine learning-assisted search for novel coagulants: When machine learning can be efficient even if data availability is low.,2024,J. Comput. Chem.,Journal Articles
52,journals/algorithms/ZhaoJ25,HIPACO: An RSSI Indoor Positioning Algorithm Based on Improved Ant Colony Optimization Algorithm.,2025,Algorithms,Journal Articles
53,conf/sigcse/MikeR21,Teaching Machine Learning to Computer Science Preservice Teachers: Human vs. Machine Learning.,2021,SIGCSE,Conference and Workshop Papers
54,journals/gandc/YangTLWGZMX24,"Sample size effects on landslide susceptibility models: A comparative study of heuristic, statistical, machine learning, deep learning and ensemble learning models with SHAP analysis.",2024,Comput. Geosci.,Journal Articles
55,journals/iet-qtc/DharaAR25,Beamforming optimization via quantum algorithms using Variational Quantum Eigensolver and Quantum Approximate Optimization Algorithm.,2025,IET Quantum Commun.,Journal Articles
56,conf/educon/AlatawiBKC25,Interactive Visual Learning in Machine Learning: A Cognitive Learning Theories-Driven Approach.,2025,EDUCON,Conference and Workshop Papers
57,journals/algorithms/AzizA22,Pendulum Search Algorithm: An Optimization Algorithm Based on Simple Harmonic Motion and Its Application for a Vaccine Distribution Problem.,2022,Algorithms,Journal Articles
58,conf/kes/Mosqueira-ReyAB21,Integrating Iterative Machine Teaching and Active Learning into the Machine Learning Loop.,2021,KES,Conference and Workshop Papers
59,journals/ton/WangLS23,Machine Learning Feature Based Job Scheduling for Distributed Machine Learning Clusters.,2023,IEEE/ACM Trans. Netw.,Journal Articles
60,journals/algorithmica/OprisLS25,Achieving Tight O(4k) Runtime Bounds on Jumpk by Proving that Genetic Algorithms Evolve Near-Maximal Population Diversity.,2025,Algorithmica,Journal Articles
61,journals/software/RaatikainenSRS25,Machine Learning Lineage for Trustworthy Machine Learning Systems: Information Framework for MLOps Pipelines.,2025,IEEE Softw.,Journal Articles
62,journals/nca/YaghoubiYKV24,"A systematic review and meta-analysis of artificial neural network, machine learning, deep learning, and ensemble learning approaches in field of geotechnical engineering.",2024,Neural Comput. Appl.,Journal Articles
63,journals/tmlr/KilianYK23,Mixed effects in machine learning - A flexible mixedML framework to add random effects to supervised machine learning regression.,2023,Trans. Mach. Learn. Res.,Journal Articles
64,journals/algorithms/PanZXPGLLMZL25,A Review of Hybrid Vehicles Classification and Their Energy Management Strategies: An Exploration of the Advantages of Genetic Algorithms.,2025,Algorithms,Journal Articles
65,journals/fdata/QayyumIUIQEA20,Securing Machine Learning in the Cloud: A Systematic Review of Cloud Machine Learning Security.,2020,Frontiers Big Data,Journal Articles
66,conf/cmsc/LehnerL24,Unplugged Decision Tree Learning - A Learning Activity for Machine Learning Education in K-12.,2024,CMSC,Conference and Workshop Papers
67,journals/ires/GaohuiWL25,Algorithmic Gossiping: sharing and non-sharing that evolve algorithmic imaginaries to folk theories.,2025,Inf. Res.,Journal Articles
68,journals/tosem/NoeiLZ25,Detecting Refactoring Commits in Machine Learning Python Projects: A Machine Learning-Based Approach.,2025,ACM Trans. Softw. Eng. Methodol.,Journal Articles
69,journals/jamia/SoleyRSXFT25,Predicting postoperative chronic opioid use with fair machine learning models integrating multi-modal data sources: a demonstration of ethical machine learning in healthcare.,2025,J. Am. Medical Informatics Assoc.,Journal Articles
70,journals/dmaa/OzgurUTK25,A new encoding/decoding algorithm via Fibonacci-Lucas tree diagrams.,2025,Discret. Math. Algorithms Appl.,Journal Articles
71,journals/eaai/ChengW25,Multi-objective weighted average algorithm: a novel algorithm for multi-objective optimization problems and its application in engineering problems.,2025,Eng. Appl. Artif. Intell.,Journal Articles
72,journals/access/CapogrossoCCFC24,A Machine Learning-Oriented Survey on Tiny Machine Learning.,2024,IEEE Access,Journal Articles
73,journals/algorithms/IfrimO25,A Hybrid Numerical-Semantic Clustering Algorithm Based on Scalarized Optimization.,2025,Algorithms,Journal Articles
74,conf/aaaiss/KursuncuGS20,Knowledge Infused Learning (K-IL): Towards Deep Incorporation of Knowledge in Deep Learning.,2020,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,Conference and Workshop Papers
75,journals/algorithms/WernerHGV22,"Test and Validation of the Surrogate-Based, Multi-Objective GOMORS Algorithm against the NSGA-II Algorithm in Structural Shape Optimization.",2022,Algorithms,Journal Articles
76,conf/fat/Benbouzid23,Fairness in machine learning from the perspective of sociology of statistics: How machine learning is becoming scientific by turning its back on metrological realism.,2023,FAccT,Conference and Workshop Papers
77,journals/integration/YinLLSDCWLM25,Digital background calibration algorithm for pipelined ADC based on time-delay neural network with genetic algorithm feature selection.,2025,Integr.,Journal Articles
78,conf/aaaiss/000321,Batch-like Online Learning for More Robust Hybrid Artificial Intelligence: Deconstruction as a Machine Learning Process.,2021,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,Conference and Workshop Papers
79,journals/mta/SakshiK24,Machine learning and non-machine learning methods in mathematical recognition systems: Two decades&apos; systematic literature review.,2024,Multim. Tools Appl.,Journal Articles
80,journals/ijcisys/MaazalahiH25,A Novel Hybrid Method Using Grey Wolf Algorithm and Genetic Algorithm for IoT Botnet DDoS Attacks Detection.,2025,Int. J. Comput. Intell. Syst.,Journal Articles
81,journals/eninf/WangJSDL25,Optimal scheduling of clean energy storage and charging integrated system by fusing DE algorithm and kernel search algorithm.,2025,Energy Inform.,Journal Articles
82,journals/cais/KuhlHBSS21,How to Conduct Rigorous Supervised Machine Learning in Information Systems Research: The Supervised Machine Learning Report Card.,2021,Commun. Assoc. Inf. Syst.,Journal Articles
83,journals/computing/GhasemiT25,A new optimization algorithm based on the integration of reinforcement learning and HHO algorithm for virtual machine placement in cloud data centers.,2025,Computing,Journal Articles
84,journals/algorithms/BoschIVS25,Total Outer-Independent Domination Number: Bounds and Algorithms.,2025,Algorithms,Journal Articles
85,journals/algorithms/LiLC25,A GIN-Guided Multiobjective Evolutionary Algorithm for Robustness Optimization of Complex Networks.,2025,Algorithms,Journal Articles
86,journals/comsur/OlowononiRL21,Resilient Machine Learning for Networked Cyber Physical Systems: A Survey for Machine Learning Security to Securing Machine Learning for CPS.,2021,IEEE Commun. Surv. Tutorials,Journal Articles
87,journals/jss/NtentosWZ25,On the understandability of machine learning practices in deep learning and reinforcement learning based systems.,2025,J. Syst. Softw.,Journal Articles
88,journals/bib/ShenHWZZWYXCH21,Can machine learning consistently improve the scoring power of classical scoring functions? Insights into the role of machine learning in scoring functions.,2021,Briefings Bioinform.,Journal Articles
89,conf/igarss/GuigalBCVBMM24,Meta-Analysis of Rain Nowcasting Using Machine Learning and Non-Machine Learning Models.,2024,IGARSS,Conference and Workshop Papers
90,journals/algorithms/PantLR25,Improving K-Means Clustering: A Comparative Study of Parallelized Version of Modified K-Means Algorithm for Clustering of Satellite Images.,2025,Algorithms,Journal Articles
91,journals/idt/LichodeK25,Comparative analysis of optimization algorithm-based training algorithms for a few shot continual learning.,2025,Intell. Decis. Technol.,Journal Articles
92,journals/access/EssaCH23,Personalized Adaptive Learning Technologies Based on Machine Learning Techniques to Identify Learning Styles: A Systematic Literature Review.,2023,IEEE Access,Journal Articles
93,journals/cor/LiuHWGZZ25,Improved A* algorithm incorporating RRT* thought: A path planning algorithm for AGV in digitalised workshops.,2025,Comput. Oper. Res.,Journal Articles
94,journals/access/TrojovskaDT22,Zebra Optimization Algorithm: A New Bio-Inspired Optimization Algorithm for Solving Optimization Algorithm.,2022,IEEE Access,Journal Articles
95,journals/tnn/PuYZ17,Fractional Hopfield Neural Networks: Fractional Dynamic Associative Recurrent Neural Networks.,2017,IEEE Trans. Neural Networks Learn. Syst.,Journal Articles
96,journals/biodb/NgHTT17,IsoPlot: a database for comparison of mRNA isoforms in fruit fly and mosquitoes.,2017,Database J. Biol. Databases Curation,Journal Articles
97,journals/biodb/MaoCCJSWKQYZCF19,RiceRelativesGD: a genomic database of rice relatives for rice research.,2019,Database J. Biol. Databases Curation,Journal Articles
98,journals/nar/BlakeEKRSBG17,Mouse Genome Database (MGD)-2017: community knowledge resource for the laboratory mouse.,2017,Nucleic Acids Res.,Journal Articles
99,journals/biodb/DennisULMLGJ19,Phytochelatin database: a resource for phytochelatin complexes of nutritional and environmental metals.,2019,Database J. Biol. Databases Curation,Journal Articles
100,journals/jcal/SpikolRDC18,Supervised machine learning in multimodal learning analytics for estimating success in project-based learning.,2018,J. Comput. Assist. Learn.,Journal Articles
101,journals/biodb/HeithoffTLBGFDP19,The integrated National NeuroAIDS Tissue Consortium database: a rich platform for neuroHIV research.,2019,Database J. Biol. Databases Curation,Journal Articles
102,journals/biodb/NecciPT18,Where differences resemble: sequence-feature analysis in curated databases of intrinsically disordered proteins.,2018,Database J. Biol. Databases Curation,Journal Articles
103,conf/aaai/HoagD18,Bayesian Optimization Meets Search Based Optimization: A Hybrid Approach for Multi-Fidelity Optimization.,2018,AAAI,Conference and Workshop Papers
104,journals/ile/WuHN20,Using supervised machine learning on large-scale online forums to classify course-related Facebook messages in predicting learning achievement within the personal learning environment.,2020,Interact. Learn. Environ.,Journal Articles
105,journals/nar/RigdenF20,The 27th annual Nucleic Acids Research database issue and molecular biology database collection.,2020,Nucleic Acids Res.,Journal Articles
106,journals/biodb/SharmaCSDCKS18,The NCBI BioCollections Database.,2018,Database J. Biol. Databases Curation,Journal Articles
107,journals/biodb/AgarwalKJRS16,CoReCG: a comprehensive database of genes associated with colon-rectal cancer.,2016,Database J. Biol. Databases Curation,Journal Articles
108,journals/biodb/Perez-GranadoGF19,ResMarkerDB: a database of biomarkers of response to antibody therapy in breast and colorectal cancer.,2019,Database J. Biol. Databases Curation,Journal Articles
109,journals/biodb/BiggsPGG20,ncVarDB: a manually curated database for pathogenic non-coding variants and benign controls.,2020,Database J. Biol. Databases Curation,Journal Articles
110,conf/csoc/GovenderKL20,"A Framework for the Assessment of Information Security Risk, the Reduction of Information Security Cost and the Sustainability of Information Security Culture.",2020,CSOC,Conference and Workshop Papers
111,journals/biodb/SureshkumarDKPM19,RiceMetaSysB: a database of blast and bacterial blight responsive genes in rice and its utilization in identifying key blast-resistant WRKY genes.,2019,Database J. Biol. Databases Curation,Journal Articles
112,journals/biodb/SinghBJMS18,mutTCPdb: a comprehensive database for genomic variants of a tropical country neglected disease - tropical calcific pancreatitis.,2018,Database J. Biol. Databases Curation,Journal Articles
113,journals/biodb/YangZCCZLZX18,dbDEPC 3.0: the database of differentially expressed proteins in human cancer with multi-level annotation and drug indication.,2018,Database J. Biol. Databases Curation,Journal Articles
114,conf/cata/RahimiMG20,Adversarial Machine Learning: Difficulties in Applying Machine Learning to Existing Cybersecurity Systems.,2020,CATA,Conference and Workshop Papers
115,journals/nar/BlinMKLW17,"The antiSMASH database, a comprehensive database of microbial secondary metabolite biosynthetic gene clusters.",2017,Nucleic Acids Res.,Journal Articles
116,journals/biodb/JungHJCBCC20,KRGDB: the large-scale variant database of 1722 Koreans based on whole genome sequencing.,2020,Database J. Biol. Databases Curation,Journal Articles
117,journals/jips/ParkP20d,"Enhanced Machine Learning Algorithms: Deep Learning, Reinforcement learning and Q-learning.",2020,J. Inf. Process. Syst.,Journal Articles
118,journals/jms/ShahriIM16,The Impact of the Security Competency on &quot;Self-Efficacy in Information Security&quot; for Effective Health Information Security in Iran.,2016,J. Medical Syst.,Journal Articles
119,journals/soco/ReddyB20,A new hybrid optimization method combining moth-flame optimization and teaching-learning-based optimization algorithms for visual tracking.,2020,Soft Comput.,Journal Articles
120,journals/tnn/HuangOP18,Hybrid Fuzzy Wavelet Neural Networks Architecture Based on Polynomial Neural Networks and Fuzzy Set/Relation Inference-Based Wavelet Neurons.,2018,IEEE Trans. Neural Networks Learn. Syst.,Journal Articles
121,conf/aaaiss/Schmid19,Deconstructing the Final Frontier of Artificial Intelligence: Five Theses for a Constructivist Machine Learning.,2019,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,Conference and Workshop Papers
122,journals/tnn/WangGQ16,A Combined Adaptive Neural Network and Nonlinear Model Predictive Control for Multirate Networked Industrial Process Control.,2016,IEEE Trans. Neural Networks Learn. Syst.,Journal Articles
123,conf/cn/UstebayTA19,"Cyber Attack Detection by Using Neural Network Approaches: Shallow Neural Network, Deep Neural Network and AutoEncoder.",2019,CN,Conference and Workshop Papers
124,journals/biodb/LeWHGL18,Spfy: an integrated graph database for real-time prediction of bacterial phenotypes and downstream comparative analyses.,2018,Database J. Biol. Databases Curation,Journal Articles
125,journals/biodb/RosikiewiczKKCK17,RetrogeneDB-a database of plant and animal retrocopies.,2017,Database J. Biol. Databases Curation,Journal Articles
126,journals/nar/LiXZNLWZSZHHZ19,Plant editosome database: a curated database of RNA editosome in plants.,2019,Nucleic Acids Res.,Journal Articles
127,journals/biodb/CortazarOAL17,VerSeDa: vertebrate secretome database.,2017,Database J. Biol. Databases Curation,Journal Articles
128,journals/nn/AntonopoulosBB19,Evaluating performance of neural codes in model neural communication networks.,2019,Neural Networks,Journal Articles
129,journals/biodb/XuYWDSSLXSLZL17,"BioM2MetDisease: a manually curated database for associations between microRNAs, metabolites, small molecules and metabolic diseases.",2017,Database J. Biol. Databases Curation,Journal Articles
130,conf/uss/SunSZPGJ18,Security Namespace: Making Linux Security Frameworks Available to Containers.,2018,USENIX Security Symposium,Conference and Workshop Papers
131,journals/algorithms/XiaoH20a,A Clustering Routing Algorithm Based on Improved Ant Colony Optimization Algorithms for Underwater Wireless Sensor Networks.,2020,Algorithms,Journal Articles
132,journals/ijaec/GhoshD16,A Hybrid Algorithm Using Genetic Algorithm and Cuckoo Search Algorithm to Solve Job Scheduling Problem in Computational Grid Systems.,2016,Int. J. Appl. Evol. Comput.,Journal Articles
133,conf/siie/FreitasGS20,Métodos de Machine Learning Aplicados no Cenário da Educaçáo a Distância Brasileira (Machine Learning Techniques Applied to the Brazilian Distance Education).,2020,SIIE,Conference and Workshop Papers
134,journals/asc/SunZYW16,A novel hybrid algorithm of gravitational search algorithm with genetic algorithm for multi-level thresholding.,2016,Appl. Soft Comput.,Journal Articles
135,conf/worldcist/ShahriM16,The Impact of the Security Competency on &quot;Self-efficacy in Information Security&quot; for Effective Health Information Security in Iran.,2016,WorldCIST,Conference and Workshop Papers
136,journals/biodb/WangYXHXJW18,StraPep: a structure database of bioactive peptides.,2018,Database J. Biol. Databases Curation,Journal Articles
137,conf/IEEEares/MontefuscoCKS16,Addressing Security in the ATM Environment: From Identification to Validation of Security Countermeasures with Introduction of New Security Capabilities in the ATM System Context.,2016,ARES,Conference and Workshop Papers
138,journals/biodb/CerqueiraV20,OCCAM: prediction of small ORFs in bacterial genomes by means of a target-decoy database approach and machine learning techniques.,2020,Database J. Biol. Databases Curation,Journal Articles
139,journals/entropy/DemongeotJHMST18,"Biological Networks Entropies: Examples in Neural Memory Networks, Genetic Regulation Networks and Social Epidemic Networks.",2018,Entropy,Journal Articles
140,conf/cdmake/HolzingerKWT18,"Current Advances, Trends and Challenges of Machine Learning and Knowledge Extraction: From Machine Learning to Explainable AI.",2018,CD-MAKE,Conference and Workshop Papers
141,journals/biodb/HarperCCJPWAABB18,AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture.,2018,Database J. Biol. Databases Curation,Journal Articles
142,journals/asc/DeyDBPS20,"Novel quantum inspired approaches for automatic clustering of gray level images using Particle Swarm Optimization, Spider Monkey Optimization and Ageist Spider Monkey Optimization algorithms.",2020,Appl. Soft Comput.,Journal Articles
143,journals/biodb/TanCWZZZBBL20,BarleyVarDB: a database of barley genomic variation.,2020,Database J. Biol. Databases Curation,Journal Articles
144,conf/aaaiss/Federmann13,Multi-Engine Machine Translation as a Lifelong Machine Learning Problem.,2013,AAAI Spring Symposium - Lifelong Machine Learning,Conference and Workshop Papers
145,conf/soict/BanD14,A parallel algorithm combines genetic algorithm and ant colony algorithm for the minimum latency problem.,2014,SoICT,Conference and Workshop Papers
146,conf/bwcca/LeuHC12,The IPSec Security Problems and a Cross-layer Security Mechanism for PMIPv6 Handover when an IPSec Security Association is Established on an L2 Direct Link.,2012,BWCCA,Conference and Workshop Papers
147,journals/tnn/ChengHLTZW11,Recurrent Neural Network for Non-Smooth Convex Optimization Problems With Application to the Identification of Genetic Regulatory Networks.,2011,IEEE Trans. Neural Networks,Journal Articles
148,journals/na/LamourM11,A new algorithm for index determination in DAEs using algorithmic differentiation.,2011,Numer. Algorithms,Journal Articles
149,journals/biodb/EvansJLBCPM13,Addition of a breeding database in the Genome Database for Rosaceae.,2013,Database J. Biol. Databases Curation,Journal Articles
150,journals/jota/Kobis15,On Robust Optimization - Relations Between Scalar Robust Optimization and Unconstrained Multicriteria Optimization.,2015,J. Optim. Theory Appl.,Journal Articles
151,conf/ifip11-8/NiekerkG11,Towards Information Security Education 3.0 - A Call for Information Security Educational Ontologies.,2011,World Conference on Information Security Education,Conference and Workshop Papers
152,journals/almob/PolyanovskyRT11,Comparative analysis of the quality of a global algorithm and a local algorithm for alignment of two sequences.,2011,Algorithms Mol. Biol.,Journal Articles
153,conf/re/GiacaloneMMPPS14,Security triage: A report of a lean security requirements methodology for cost-effective security analysis.,2014,EmpiRE,Conference and Workshop Papers
154,journals/tnn/SunZCXDW10,Novel hysteretic noisy chaotic neural network for broadcast scheduling problems in packet radio networks.,2010,IEEE Trans. Neural Networks,Journal Articles
155,journals/biodb/VellozoVBHCFCRDGSCC11,CycADS: an annotation database system to ease the development and update of BioCyc databases.,2011,Database J. Biol. Databases Curation,Journal Articles
156,journals/nn/HuangOP14,Design of hybrid radial basis function neural networks (HRBFNNs) realized with the aid of hybridization of fuzzy clustering method (FCM) and polynomial neural networks (PNNs).,2014,Neural Networks,Journal Articles
157,conf/aaai/LindauerHHS15,AutoFolio: Algorithm Configuration for Algorithm Selection.,2015,AAAI Workshop - Algorithm Configuration,Conference and Workshop Papers
158,journals/biodb/CserhatiPBBGF15,The National NeuroAIDS Tissue Consortium (NNTC) Database: an integrated database for HIV-related studies.,2015,Database J. Biol. Databases Curation,Journal Articles
159,conf/hais/YannibelliA13,A Hybrid Algorithm Combining an Evolutionary Algorithm and a Simulated Annealing Algorithm to Solve a Collaborative Learning Team Building Problem.,2013,HAIS,Conference and Workshop Papers
160,journals/asc/AfanehZA13,Virus detection using clonal selection algorithm with Genetic Algorithm (VDC algorithm).,2013,Appl. Soft Comput.,Journal Articles
161,journals/re/BeckersCFHH13,"A pattern-based method for establishing a cloud-specific information security management system - Establishing information security management systems for clouds considering security, privacy, and legal compliance.",2013,Requir. Eng.,Journal Articles
162,journals/eaai/GhasemiGRRF14,A novel hybrid algorithm of imperialist competitive algorithm and teaching learning algorithm for optimal power flow problem with non-smooth cost functions.,2014,Eng. Appl. Artif. Intell.,Journal Articles
163,conf/siguccs/YamanoueFSMOM13,"Enhancing information security of a university using computer ethics video clips, managed security service and an information security management system.",2013,SIGUCCS,Conference and Workshop Papers
164,journals/tnn/XiaoZ11,Zhang Neural Network Versus Gradient Neural Network for Solving Time-Varying Linear Inequalities.,2011,IEEE Trans. Neural Networks,Journal Articles
165,conf/futsec/HynesP12,"Security for Critical Infrastructure and Urban Areas: A Holistic Approach to Urban Safety, Security and Resilience.",2012,Future Security,Conference and Workshop Papers
