index,key,title,year,type,author
58,conf/kes/Mosqueira-ReyAB21,"Integrating Iterative Machine Teaching and Active Learning into the
                  Machine Learning Loop",2021,Conference and Workshop Papers,"Eduardo Mosqueira{-"
59,journals/ton/WangLS23,"Machine Learning Feature Based Job Scheduling for Distributed Machine
                  Learning Clusters",2023,Journal Articles,"Haoyu Wang and
                  Zetian Liu and
                  Haiying Shen"
60,journals/algorithmica/OprisLS25,"Achieving Tight O(4\({",2025,Journal Articles,"Andre Opris and
                  Johannes Lengler and
                  Dirk Sudholt"
61,journals/software/RaatikainenSRS25,"Machine Learning Lineage for Trustworthy Machine Learning Systems:
                  Information Framework for MLOps Pipelines",2025,Journal Articles,"Mikko Raatikainen and
                  Charalampos Souris and
                  Jukka J. Remes and
                  Vlad Stirbu"
62,journals/nca/YaghoubiYKV24,"A systematic review and meta-analysis of artificial neural network,
                  machine learning, deep learning, and ensemble learning approaches
                  in field of geotechnical engineering",2024,Journal Articles,"Elaheh Yaghoubi and
                  Elnaz Yaghoubi and
                  Ahmed Khamees and
                  Amir Hossein Vakili"
63,journals/tmlr/KilianYK23,"Mixed effects in machine learning - {A",2023,Journal Articles,"Pascal Kilian and
                  Sangbeak Ye and
                  Augustin Kelava"
64,journals/algorithms/PanZXPGLLMZL25,"A Review of Hybrid Vehicles Classification and Their Energy Management
                  Strategies: An Exploration of the Advantages of Genetic Algorithms",2025,Journal Articles,"Yuede Pan and
                  Kaifeng Zhong and
                  Yubao Xie and
                  Mingzhang Pan and
                  Wei Guan and
                  Li Li and
                  Changye Liu and
                  Xingjia Man and
                  Zhiqing Zhang and
                  Mantian Li"
65,journals/fdata/QayyumIUIQEA20,"Securing Machine Learning in the Cloud: {A",2020,Journal Articles,"Adnan Qayyum and
                  Aneeqa Ijaz and
                  Muhammad Usama and
                  Waleed Iqbal and
                  Junaid Qadir and
                  Yehia Elkhatib and
                  Ala I. Al{-"
66,conf/cmsc/LehnerL24,"Unplugged Decision Tree Learning - {A",2024,Conference and Workshop Papers,"Lukas Lehner and
                  Martina Landman"
67,journals/ires/GaohuiWL25,"Algorithmic Gossiping: sharing and non-sharing that evolve algorithmic
                  imaginaries to folk theories",2025,Journal Articles,"Cao Gaohui and
                  Zhang Wen and
                  Puyi Liu"
68,journals/tosem/NoeiLZ25,"Detecting Refactoring Commits in Machine Learning Python Projects:
                  {A",2025,Journal Articles,"Shayan Noei and
                  Heng Li and
                  Ying Zou"
69,journals/jamia/SoleyRSXFT25,"Predicting postoperative chronic opioid use with fair machine learning
                  models integrating multi-modal data sources: a demonstration of ethical
                  machine learning in healthcare",2025,Journal Articles,"Nidhi Soley and
                  Ilia Rattsev and
                  Traci J. Speed and
                  Anping Xie and
                  Kadija S. Ferryman and
                  Casey Overby Taylor"
70,journals/dmaa/OzgurUTK25,"A new encoding/decoding algorithm via Fibonacci-Lucas tree diagrams",2025,Journal Articles,"Nihal Yilmaz {\""{O"
71,journals/eaai/ChengW25,"Multi-objective weighted average algorithm: a novel algorithm for
                  multi-objective optimization problems and its application in engineering
                  problems",2025,Journal Articles,"Jun Cheng and
                  Wim De Waele"
72,journals/access/CapogrossoCCFC24,"A Machine Learning-Oriented Survey on Tiny Machine Learning",2024,Journal Articles,"Luigi Capogrosso and
                  Federico Cunico and
                  Dong Seon Cheng and
                  Franco Fummi and
                  Marco Cristani"
73,journals/algorithms/IfrimO25,"A Hybrid Numerical-Semantic Clustering Algorithm Based on Scalarized
                  Optimization",2025,Journal Articles,"Ana Maria Ifrim and
                  Ionica Oncioiu"
74,conf/aaaiss/KursuncuGS20,"Knowledge Infused Learning {(K-IL):",2020,Conference and Workshop Papers,"Ugur Kursuncu and
                  Manas Gaur and
                  Amit P. Sheth"
75,journals/algorithms/WernerHGV22,"Test and Validation of the Surrogate-Based, Multi-Objective {GOMORS",2022,Journal Articles,"Yannis Werner and
                  Tim van Hout and
                  Vijey Subramani Raja Gopalan and
                  Thomas Vietor"
76,conf/fat/Benbouzid23,"Fairness in machine learning from the perspective of sociology of
                  statistics: How machine learning is becoming scientific by turning
                  its back on metrological realism",2023,Conference and Workshop Papers,"Bilel Benbouzid"
77,journals/integration/YinLLSDCWLM25,"Digital background calibration algorithm for pipelined {ADC",2025,Journal Articles,"Yongsheng Yin and
                  Long Li and
                  Jiashen Li and
                  Yukun Song and
                  Honghui Deng and
                  Hongmei Chen and
                  Luotian Wu and
                  Muqi Li and
                  Xu Meng"
78,conf/aaaiss/000321,"Batch-like Online Learning for More Robust Hybrid Artificial Intelligence:
                  Deconstruction as a Machine Learning Process",2021,Conference and Workshop Papers,"Thomas Schmid"
79,journals/mta/SakshiK24,"Machine learning and non-machine learning methods in mathematical
                  recognition systems: Two decades' systematic literature review",2024,Journal Articles,"Sakshi and
                  Vinay Kukreja"
80,journals/ijcisys/MaazalahiH25,"A Novel Hybrid Method Using Grey Wolf Algorithm and Genetic Algorithm
                  for IoT Botnet DDoS Attacks Detection",2025,Journal Articles,"Mahdieh Maazalahi and
                  Soodeh Hosseini"
81,journals/eninf/WangJSDL25,"Optimal scheduling of clean energy storage and charging integrated
                  system by fusing {DE",2025,Journal Articles,"Xinhua Wang and
                  Yujie Jia and
                  Hao Su and
                  Hua Dang and
                  Songfu Lu"
82,journals/cais/KuhlHBSS21,"How to Conduct Rigorous Supervised Machine Learning in Information
                  Systems Research: The Supervised Machine Learning Report Card",2021,Journal Articles,"Niklas K{\""{u"
83,journals/computing/GhasemiT25,"A new optimization algorithm based on the integration of reinforcement
                  learning and {HHO",2025,Journal Articles,"Arezoo Ghasemi and
                  Ghanshyam G. Tejani"
84,journals/algorithms/BoschIVS25,"Total Outer-Independent Domination Number: Bounds and Algorithms",2025,Journal Articles,"Paul Bosch and
                  Ernesto Parra Inza and
                  Ismael R{\'{\i"
85,journals/algorithms/LiLC25,"A GIN-Guided Multiobjective Evolutionary Algorithm for Robustness
                  Optimization of Complex Networks",2025,Journal Articles,"Guangpeng Li and
                  Li Li and
                  Guoyong Cai"
86,journals/comsur/OlowononiRL21,"Resilient Machine Learning for Networked Cyber Physical Systems: {A",2021,Journal Articles,"Felix O. Olowononi and
                  Danda B. Rawat and
                  Chunmei Liu"
87,journals/jss/NtentosWZ25,"On the understandability of machine learning practices in deep learning
                  and reinforcement learning based systems",2025,Journal Articles,"Evangelos Ntentos and
                  Stephen John Warnett and
                  Uwe Zdun"
88,journals/bib/ShenHWZZWYXCH21,"Can machine learning consistently improve the scoring power of classical
                  scoring functions? Insights into the role of machine learning in scoring
                  functions",2021,Journal Articles,"Chao Shen and
                  Ye Hu and
                  Zhe Wang and
                  Xujun Zhang and
                  Haiyang Zhong and
                  Gaoang Wang and
                  Xiaojun Yao and
                  Lei Xu and
                  Dong{-"
89,conf/igarss/GuigalBCVBMM24,"Meta-Analysis of Rain Nowcasting Using Machine Learning and Non-Machine
                  Learning Models",2024,Conference and Workshop Papers,"Baptiste Guigal and
                  Laurent Barthes and
                  Aymeric Chazottes and
                  Nicolas Viltard and
                  Erwan Le Bouar and
                  Emmanuel Moreau and
                  C{\'{e"
90,journals/algorithms/PantLR25,"Improving K-Means Clustering: {A",2025,Journal Articles,"Yuv Raj Pant and
                  Larry Leigh and
                  Juliana Fajardo Rueda"
91,journals/idt/LichodeK25,"Comparative analysis of optimization algorithm-based training algorithms
                  for a few shot continual learning",2025,Journal Articles,"Rupatai Lichode and
                  Swapnili P. Karmore"
92,journals/access/EssaCH23,"Personalized Adaptive Learning Technologies Based on Machine Learning
                  Techniques to Identify Learning Styles: {A",2023,Journal Articles,"Saadia Gutta Essa and
                  Turgay {\c{C"
93,journals/cor/LiuHWGZZ25,"Improved A* algorithm incorporating RRT* thought: {A",2025,Journal Articles,"Na Liu and
                  Zihang Hu and
                  Min Wei and
                  Pengfei Guo and
                  Shuhan Zhang and
                  Aodi Zhang"
94,journals/access/TrojovskaDT22,"Zebra Optimization Algorithm: {A",2022,Journal Articles,"Eva Trojovsk{\'{a"
95,journals/tnn/PuYZ17,"Fractional Hopfield Neural Networks: Fractional Dynamic Associative
                  Recurrent Neural Networks",2017,Journal Articles,"Yi{-"
96,journals/biodb/NgHTT17,"IsoPlot: a database for comparison of mRNA isoforms in fruit fly and
                  mosquitoes",2017,Journal Articles,"I{-"
97,journals/biodb/MaoCCJSWKQYZCF19,"RiceRelativesGD: a genomic database of rice relatives for rice research",2019,Journal Articles,"Lingfeng Mao and
                  Meihong Chen and
                  Qinjie Chu and
                  Lei Jia and
                  Most Humaira Sultana and
                  Dongya Wu and
                  Xiangdong Kong and
                  Jie Qiu and
                  Chu{-"
98,journals/nar/BlakeEKRSBG17,"Mouse Genome Database {(MGD)-2017:",2017,Journal Articles,"Judith A. Blake and
                  Janan T. Eppig and
                  James A. Kadin and
                  Joel E. Richardson and
                  Cynthia L. Smith and
                  Carol J. Bult and
                  The Mouse Genome Database Group"
99,journals/biodb/DennisULMLGJ19,"Phytochelatin database: a resource for phytochelatin complexes of
                  nutritional and environmental metals",2019,Journal Articles,"Kristine K. Dennis and
                  Karan Uppal and
                  Ken H. Liu and
                  Chunyu Ma and
                  Bill Liang and
                  Young{-"
100,journals/jcal/SpikolRDC18,"Supervised machine learning in multimodal learning analytics for estimating
                  success in project-based learning",2018,Journal Articles,"Daniel Spikol and
                  Emanuele Ruffaldi and
                  Giacomo Dabisias and
                  Mutlu Cukurova"
101,journals/biodb/HeithoffTLBGFDP19,"The integrated National NeuroAIDS Tissue Consortium database: a rich
                  platform for neuroHIV research",2019,Journal Articles,"Abigail J. Heithoff and
                  Steven A. Totusek and
                  Duc Le and
                  Lucas Barwick and
                  Gary Gensler and
                  Donald R. Franklin and
                  Allison C. Dye and
                  Sanjit Pandey and
                  Seth Sherman and
                  Chittibabu Guda and
                  Howard S. Fox"
102,journals/biodb/NecciPT18,"Where differences resemble: sequence-feature analysis in curated databases
                  of intrinsically disordered proteins",2018,Journal Articles,"Marco Necci and
                  Damiano Piovesan and
                  Silvio C. E. Tosatto"
103,conf/aaai/HoagD18,"Bayesian Optimization Meets Search Based Optimization: {A",2018,Conference and Workshop Papers,"Ellis Hoag and
                  Janardhan Rao Doppa"
104,journals/ile/WuHN20,"Using supervised machine learning on large-scale online forums to
                  classify course-related Facebook messages in predicting learning achievement
                  within the personal learning environment",2020,Journal Articles,"Jiun{-"
