index,key,title,year,venue,type,year_int
28,journals/iet-qtc/DharaAR25,Beamforming optimization via quantum algorithms using Variational Quantum Eigensolver and Quantum Approximate Optimization Algorithm.,2025,IET Quantum Commun.,Journal Articles,2025.0
29,conf/educon/AlatawiBKC25,Interactive Visual Learning in Machine Learning: A Cognitive Learning Theories-Driven Approach.,2025,EDUCON,Conference and Workshop Papers,
30,conf/kes/Mosqueira-ReyAB21,Integrating Iterative Machine Teaching and Active Learning into the Machine Learning Loop.,2021,KES,Conference and Workshop Papers,
31,journals/nca/YaghoubiYKV24,"A systematic review and meta-analysis of artificial neural network, machine learning, deep learning, and ensemble learning approaches in field of geotechnical engineering.",2024,Neural Comput. Appl.,Journal Articles,2024.0
32,journals/algorithms/PanZXPGLLMZL25,A Review of Hybrid Vehicles Classification and Their Energy Management Strategies: An Exploration of the Advantages of Genetic Algorithms.,2025,Algorithms,Journal Articles,2025.0
33,conf/cmsc/LehnerL24,Unplugged Decision Tree Learning - A Learning Activity for Machine Learning Education in K-12.,2024,CMSC,Conference and Workshop Papers,
34,journals/ires/GaohuiWL25,Algorithmic Gossiping: sharing and non-sharing that evolve algorithmic imaginaries to folk theories.,2025,Inf. Res.,Journal Articles,2025.0
35,journals/eaai/ChengW25,Multi-objective weighted average algorithm: a novel algorithm for multi-objective optimization problems and its application in engineering problems.,2025,Eng. Appl. Artif. Intell.,Journal Articles,2025.0
36,conf/aaaiss/KursuncuGS20,Knowledge Infused Learning (K-IL): Towards Deep Incorporation of Knowledge in Deep Learning.,2020,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,Conference and Workshop Papers,
37,journals/algorithms/WernerHGV22,"Test and Validation of the Surrogate-Based, Multi-Objective GOMORS Algorithm against the NSGA-II Algorithm in Structural Shape Optimization.",2022,Algorithms,Journal Articles,2022.0
38,conf/fat/Benbouzid23,Fairness in machine learning from the perspective of sociology of statistics: How machine learning is becoming scientific by turning its back on metrological realism.,2023,FAccT,Conference and Workshop Papers,
39,conf/aaaiss/000321,Batch-like Online Learning for More Robust Hybrid Artificial Intelligence: Deconstruction as a Machine Learning Process.,2021,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,Conference and Workshop Papers,
40,journals/cais/KuhlHBSS21,How to Conduct Rigorous Supervised Machine Learning in Information Systems Research: The Supervised Machine Learning Report Card.,2021,Commun. Assoc. Inf. Syst.,Journal Articles,2021.0
41,journals/bib/ShenHWZZWYXCH21,Can machine learning consistently improve the scoring power of classical scoring functions? Insights into the role of machine learning in scoring functions.,2021,Briefings Bioinform.,Journal Articles,2021.0
42,conf/igarss/GuigalBCVBMM24,Meta-Analysis of Rain Nowcasting Using Machine Learning and Non-Machine Learning Models.,2024,IGARSS,Conference and Workshop Papers,
43,journals/idt/LichodeK25,Comparative analysis of optimization algorithm-based training algorithms for a few shot continual learning.,2025,Intell. Decis. Technol.,Journal Articles,2025.0
44,journals/access/EssaCH23,Personalized Adaptive Learning Technologies Based on Machine Learning Techniques to Identify Learning Styles: A Systematic Literature Review.,2023,IEEE Access,Journal Articles,2023.0
45,conf/aaai/HoagD18,Bayesian Optimization Meets Search Based Optimization: A Hybrid Approach for Multi-Fidelity Optimization.,2018,AAAI,Conference and Workshop Papers,
46,journals/biodb/SharmaCSDCKS18,The NCBI BioCollections Database.,2018,Database J. Biol. Databases Curation,Journal Articles,2018.0
47,journals/biodb/AgarwalKJRS16,CoReCG: a comprehensive database of genes associated with colon-rectal cancer.,2016,Database J. Biol. Databases Curation,Journal Articles,2016.0
48,journals/biodb/BiggsPGG20,ncVarDB: a manually curated database for pathogenic non-coding variants and benign controls.,2020,Database J. Biol. Databases Curation,Journal Articles,2020.0
49,conf/csoc/GovenderKL20,"A Framework for the Assessment of Information Security Risk, the Reduction of Information Security Cost and the Sustainability of Information Security Culture.",2020,CSOC,Conference and Workshop Papers,
50,journals/biodb/SinghBJMS18,mutTCPdb: a comprehensive database for genomic variants of a tropical country neglected disease - tropical calcific pancreatitis.,2018,Database J. Biol. Databases Curation,Journal Articles,2018.0
51,conf/cata/RahimiMG20,Adversarial Machine Learning: Difficulties in Applying Machine Learning to Existing Cybersecurity Systems.,2020,CATA,Conference and Workshop Papers,
52,journals/jms/ShahriIM16,The Impact of the Security Competency on &quot;Self-Efficacy in Information Security&quot; for Effective Health Information Security in Iran.,2016,J. Medical Syst.,Journal Articles,2016.0
53,conf/aaaiss/Schmid19,Deconstructing the Final Frontier of Artificial Intelligence: Five Theses for a Constructivist Machine Learning.,2019,AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,Conference and Workshop Papers,
54,conf/cn/UstebayTA19,"Cyber Attack Detection by Using Neural Network Approaches: Shallow Neural Network, Deep Neural Network and AutoEncoder.",2019,CN,Conference and Workshop Papers,
55,journals/biodb/RosikiewiczKKCK17,RetrogeneDB-a database of plant and animal retrocopies.,2017,Database J. Biol. Databases Curation,Journal Articles,2017.0
56,journals/biodb/CortazarOAL17,VerSeDa: vertebrate secretome database.,2017,Database J. Biol. Databases Curation,Journal Articles,2017.0
57,conf/uss/SunSZPGJ18,Security Namespace: Making Linux Security Frameworks Available to Containers.,2018,USENIX Security Symposium,Conference and Workshop Papers,
58,journals/ijaec/GhoshD16,A Hybrid Algorithm Using Genetic Algorithm and Cuckoo Search Algorithm to Solve Job Scheduling Problem in Computational Grid Systems.,2016,Int. J. Appl. Evol. Comput.,Journal Articles,2016.0
59,conf/siie/FreitasGS20,Métodos de Machine Learning Aplicados no Cenário da Educaçáo a Distância Brasileira (Machine Learning Techniques Applied to the Brazilian Distance Education).,2020,SIIE,Conference and Workshop Papers,
60,conf/worldcist/ShahriM16,The Impact of the Security Competency on &quot;Self-efficacy in Information Security&quot; for Effective Health Information Security in Iran.,2016,WorldCIST,Conference and Workshop Papers,
61,journals/biodb/WangYXHXJW18,StraPep: a structure database of bioactive peptides.,2018,Database J. Biol. Databases Curation,Journal Articles,2018.0
62,conf/IEEEares/MontefuscoCKS16,Addressing Security in the ATM Environment: From Identification to Validation of Security Countermeasures with Introduction of New Security Capabilities in the ATM System Context.,2016,ARES,Conference and Workshop Papers,
63,journals/entropy/DemongeotJHMST18,"Biological Networks Entropies: Examples in Neural Memory Networks, Genetic Regulation Networks and Social Epidemic Networks.",2018,Entropy,Journal Articles,2018.0
64,conf/cdmake/HolzingerKWT18,"Current Advances, Trends and Challenges of Machine Learning and Knowledge Extraction: From Machine Learning to Explainable AI.",2018,CD-MAKE,Conference and Workshop Papers,
65,conf/aaaiss/Federmann13,Multi-Engine Machine Translation as a Lifelong Machine Learning Problem.,2013,AAAI Spring Symposium - Lifelong Machine Learning,Conference and Workshop Papers,
66,conf/soict/BanD14,A parallel algorithm combines genetic algorithm and ant colony algorithm for the minimum latency problem.,2014,SoICT,Conference and Workshop Papers,
67,conf/bwcca/LeuHC12,The IPSec Security Problems and a Cross-layer Security Mechanism for PMIPv6 Handover when an IPSec Security Association is Established on an L2 Direct Link.,2012,BWCCA,Conference and Workshop Papers,
68,journals/tnn/ChengHLTZW11,Recurrent Neural Network for Non-Smooth Convex Optimization Problems With Application to the Identification of Genetic Regulatory Networks.,2011,IEEE Trans. Neural Networks,Journal Articles,2011.0
69,journals/na/LamourM11,A new algorithm for index determination in DAEs using algorithmic differentiation.,2011,Numer. Algorithms,Journal Articles,2011.0
70,journals/biodb/EvansJLBCPM13,Addition of a breeding database in the Genome Database for Rosaceae.,2013,Database J. Biol. Databases Curation,Journal Articles,2013.0
71,conf/ifip11-8/NiekerkG11,Towards Information Security Education 3.0 - A Call for Information Security Educational Ontologies.,2011,World Conference on Information Security Education,Conference and Workshop Papers,
72,journals/almob/PolyanovskyRT11,Comparative analysis of the quality of a global algorithm and a local algorithm for alignment of two sequences.,2011,Algorithms Mol. Biol.,Journal Articles,2011.0
73,conf/re/GiacaloneMMPPS14,Security triage: A report of a lean security requirements methodology for cost-effective security analysis.,2014,EmpiRE,Conference and Workshop Papers,
74,journals/tnn/SunZCXDW10,Novel hysteretic noisy chaotic neural network for broadcast scheduling problems in packet radio networks.,2010,IEEE Trans. Neural Networks,Journal Articles,2010.0
75,journals/biodb/VellozoVBHCFCRDGSCC11,CycADS: an annotation database system to ease the development and update of BioCyc databases.,2011,Database J. Biol. Databases Curation,Journal Articles,2011.0
76,conf/aaai/LindauerHHS15,AutoFolio: Algorithm Configuration for Algorithm Selection.,2015,AAAI Workshop - Algorithm Configuration,Conference and Workshop Papers,
77,conf/hais/YannibelliA13,A Hybrid Algorithm Combining an Evolutionary Algorithm and a Simulated Annealing Algorithm to Solve a Collaborative Learning Team Building Problem.,2013,HAIS,Conference and Workshop Papers,
78,journals/asc/AfanehZA13,Virus detection using clonal selection algorithm with Genetic Algorithm (VDC algorithm).,2013,Appl. Soft Comput.,Journal Articles,2013.0
79,journals/re/BeckersCFHH13,"A pattern-based method for establishing a cloud-specific information security management system - Establishing information security management systems for clouds considering security, privacy, and legal compliance.",2013,Requir. Eng.,Journal Articles,2013.0
80,journals/eaai/GhasemiGRRF14,A novel hybrid algorithm of imperialist competitive algorithm and teaching learning algorithm for optimal power flow problem with non-smooth cost functions.,2014,Eng. Appl. Artif. Intell.,Journal Articles,2014.0
81,conf/siguccs/YamanoueFSMOM13,"Enhancing information security of a university using computer ethics video clips, managed security service and an information security management system.",2013,SIGUCCS,Conference and Workshop Papers,
82,journals/tnn/XiaoZ11,Zhang Neural Network Versus Gradient Neural Network for Solving Time-Varying Linear Inequalities.,2011,IEEE Trans. Neural Networks,Journal Articles,2011.0
83,conf/futsec/HynesP12,"Security for Critical Infrastructure and Urban Areas: A Holistic Approach to Urban Safety, Security and Resilience.",2012,Future Security,Conference and Workshop Papers,
84,conf/nspw/ParkinMIS10,A stealth approach to usable security: helping IT security managers to identify workable security solutions.,2010,NSPW,Conference and Workshop Papers,
85,journals/nca/KantSGTCNK13,"Comparison of multi-objective evolutionary neural network, adaptive neuro-fuzzy inference system and bootstrap-based neural network for flood forecasting.",2013,Neural Comput. Appl.,Journal Articles,2013.0
86,journals/biodb/MathiasHYZBUO13,The CARLSBAD Database: A Confederated Database of Chemical Bioactivities.,2013,Database J. Biol. Databases Curation,Journal Articles,2013.0
87,conf/isica/LiLML10,A Concurrent-Hybrid Evolutionary Algorithms with Multi-child Differential Evolution and Guotao Algorithm Based on Cultural Algorithm Framework.,2010,ISICA,Conference and Workshop Papers,
88,journals/biodb/StoverPBDC12,Tetrahymena genome database Wiki: a community-maintained model organism database.,2012,Database J. Biol. Databases Curation,Journal Articles,2012.0
89,conf/miwai/DapaLVP13,"Bat Algorithm, Genetic Algorithm and Shuffled Frog Leaping Algorithm for Designing Machine Layout.",2013,MIWAI,Conference and Workshop Papers,
90,journals/nn/MinnettSLH11,Neural network tomography: Network replication from output surface geometry.,2011,Neural Networks,Journal Articles,2011.0
91,conf/socpros/OjhaN14,Hybridizing Particle Swarm Optimization with Invasive Weed Optimization for Solving Nonlinear Constrained Optimization Problems.,2014,SocProS,Conference and Workshop Papers,
92,journals/nn/CarrilloHMPCMM12,Advancing interconnect density for spiking neural network hardware implementations using traffic-aware adaptive network-on-chip routers.,2012,Neural Networks,Journal Articles,2012.0
93,conf/icuimc/MusaSA13a,"Secure security model implementation for security services and related attacks base on end-to-end, application layer and data link layer security.",2013,ICUIMC,Conference and Workshop Papers,
94,journals/algorithms/MarschallR11,An Algorithm to Compute the Character Access Count Distribution for Pattern Matching Algorithms.,2011,Algorithms,Journal Articles,2011.0
95,journals/tnn/ZhaoG11,Dynamic Channel Assignment for Large-Scale Cellular Networks Using Noisy Chaotic Neural Network.,2011,IEEE Trans. Neural Networks,Journal Articles,2011.0
96,conf/hci/SugiuraSO15,Improving IT Security Through Security Measures: Using Our Game-Theory-Based Model of IT Security Implementation.,2015,HCI,Conference and Workshop Papers,
97,journals/nn/HuangCZW11,Impact of noise structure and network topology on tracking speed of neural networks.,2011,Neural Networks,Journal Articles,2011.0
98,conf/sp/RuhrmairD13,PUFs in Security Protocols: Attack Models and Security Evaluations.,2013,IEEE Symposium on Security and Privacy,Conference and Workshop Papers,
99,conf/aaaiss/SilverYL13,Lifelong Machine Learning Systems: Beyond Learning Algorithms.,2013,AAAI Spring Symposium - Lifelong Machine Learning,Conference and Workshop Papers,
100,journals/nn/WoodwardFI15,Neural coordination can be enhanced by occasional interruption of normal firing patterns: A self-optimizing spiking neural network model.,2015,Neural Networks,Journal Articles,2015.0
101,conf/icis/JenkinsDB11,Get a Cue on IS Security Training: Explaining the Difference between how Security Cues and Security Arguments Improve Secure Behavior.,2011,ICIS,Conference and Workshop Papers,
102,conf/icitst/AmankwaLK14,"A conceptual analysis of information security education, information security training and information security awareness definitions.",2014,ICITST,Conference and Workshop Papers,
103,conf/cec/ChengQWSZ15,Multimodal optimization using particle swarm optimization algorithms: CEC 2015 competition on single objective multi-niche optimization.,2015,CEC,Conference and Workshop Papers,
104,conf/sp/BecherFHHUW11,Mobile Security Catching Up? Revealing the Nuts and Bolts of the Security of Mobile Devices.,2011,IEEE Symposium on Security and Privacy,Conference and Workshop Papers,
