vpn_provider,organization,ASN
GHOSTPATH,Raja Sepadan Abadi,AS45146
GHOSTPATH,ServeNET Solution,AS45413
GHOSTPATH,Hosting Services,AS29302
GHOSTPATH,EDIS,AS57169
GHOSTPATH,The Optimal Link,AS40156
GHOSTPATH,InMotion Hosting,AS3842
GHOSTPATH,Zemlyaniy Dmitro Leonidovich,AS47987
GHOSTPATH,Nine Internet Solutions,AS29691
GHOSTPATH,Offshore Racks,AS52469
GHOSTPATH,WebSP - Comercio e Prestacao de Ser...,AS59787
GHOSTPATH,Cdlan,AS34971
GHOSTPATH,Vital Network Group,AS62296
GHOSTPATH,RJ Network OU,AS202759
GHOSTPATH,Asimia Damaskou,AS205053
GHOSTPATH,AxcelX Technologies,AS33083
GHOSTPATH,SYNAPSECOM S.A. Provider of Telecom...,AS8280
GHOSTPATH,Optimus IT,AS48894
GHOSTPATH,Velocihost,AS63452
GHOSTPATH,Interhost Communication Solutions,AS61102
GHOSTPATH,ReliableSite.Net,AS23470
GHOSTPATH,Centrilogic,AS31863
GHOSTPATH,eNET,AS10297
GHOSTPATH,CDM,AS6428
GHOSTPATH,Voice-Net,AS199319
HMA,Fidium,AS5742
HMA,Blacknight Internet Solutions,AS39122
HMA,Cloud Lease,AS206446
HMA,WebSP - Comercio e Prestacao de Ser...,AS59787
HIDEME,iFog,AS34927
HOLAVPN,Lancom,AS199081
HOLAVPN,Comvive Servidores,AS39020
HOLAVPN,EDIS,AS57169
HOTSPOTSHIELD,AxcelX Technologies,AS33083
HOTSPOTSHIELD,MIRhosting,AS52000
HOTSPOTSHIELD,Bouygues Telecom,AS12844
HOTSPOTSHIELD,Zenex 5ive,AS209181
HOTSPOTSHIELD,AP Network Communication,AS150716
IPVANISH,GB Network Solutions,AS132372
IPVANISH,Sharktech,AS46844
IPVANISH,Overplay,AS54138
IPVANISH,FiberHub (VegasNAP),AS53340
IPVANISH,Network Transit Holdings,AS11042
IVPN,Mytek Trading,AS132825
MULLVADVPN,Byte Node,AS17243
MULLVADVPN,Data Bridge,AS30671
MULLVADVPN,Jone Broadband,AS25737
MULLVADVPN,Hayashimo,AS399935
NORDVPN,Charles River Operation,AS64249
NORDVPN,Albanian Fiber Telecommunications,AS198890
NORDVPN,Hydra Communications,AS58325
NORDVPN,Web2Objects,AS62874
NORDVPN,Internet Vikings International,AS51747
NORDVPN,Vivid-Hosting,AS64200
NORDVPN,Edgoo Networks Unipessoal,AS47943
OCTOVPN,Nuclearfallout Enterprises,AS393458
OCTOVPN,ReadyDedis,AS140543
OCTOVPN,Nuclearfallout Enterprises,AS14586
OCTOVPN,FranTech Solutions,AS53667
PRIVATEINTERNETACCESS,Krypt Technologies,AS4213
PRIVADOVPN,Eweka Internet Services,AS34343
PRIVATEVPN,Interneto Vizija,AS212531
PRIVATEVPN,Netcetera,AS24851
PRIVATEVPN,Dataspace P,AS50599
PRIVATEVPN,Bangmod Enterprise,AS58955
PRIVATEVPN,WIGO,AS22411
PRIVATEVPN,IFX,AS18747
PRIVATEVPN,Open Infra ISP Production Internati...,AS207821
PRIVATEVPN,Radiografica Costarricense,AS3790
PRIVATEVPN,Monitor ERP System,AS204302
PRIVATEVPN,Quang Trung Software City Developme...,AS24085
PROTONVPN,Interserver,AS19318
PROTONVPN,Cablenet Communication Systems,AS35432
PROTONVPN,Suiten Inovasi Sukses,AS137373
PROTONVPN,Plus Hosting Grupa,AS12417
PROTONVPN,MivoCloud,AS39798
PROTONVPN,Cloud Lease,AS206446
PROTONVPN,Fiber Grid,AS37518
PUREVPN,Inios,AS209378
PUREVPN,Amarutu Technology,AS206264
PUREVPN,Aéza International,AS210644
PUREVPN,Net Gate Telecom,AS208185
PUREVPN,LeaderTelecom,AS58272
SLICKVPN,Ginernet,AS59432
SLICKVPN,iHosting Servicios Internet,AS28099
SLICKVPN,Comvive Servidores,AS39020
SLICKVPN,Syntura Group,AS39326
SLICKVPN,Cdlan,AS34971
SLICKVPN,SecurityNet.cz,AS42422
SLICKVPN,Suntel,AS52201
SLICKVPN,QuickPacket,AS46261
SLICKVPN,ServerHouse,AS21472
SLICKVPN,RouteLabel V.O.F.,AS198203
SLICKVPN,ServerAstra,AS56322
SLICKVPN,Vinters IT,AS62217
SLICKVPN,Digiweb,AS31122
SLICKVPN,GlobalConnect,AS28717
SLICKVPN,VegasNAP,AS36114
SLICKVPN,M5 Computer Security,AS21581
SLICKVPN,Dedicated Servers Australia,AS58940
SLICKVPN,Exa Bytes Network,AS46015
SLICKVPN,Raja Sepadan Abadi,AS45146
SLICKVPN,ServeNET Solution,AS45413
SLICKVPN,Hosting Services,AS29302
SLICKVPN,EDIS,AS57169
SLICKVPN,The Optimal Link,AS40156
SLICKVPN,InMotion Hosting,AS3842
SLICKVPN,Zemlyaniy Dmitro Leonidovich,AS47987
SLICKVPN,Nine Internet Solutions,AS29691
SLICKVPN,Offshore Racks,AS52469
SLICKVPN,Vital Network Group,AS62296
SLICKVPN,Asimia Damaskou,AS205053
SLICKVPN,AxcelX Technologies,AS33083
SLICKVPN,SYNAPSECOM S.A. Provider of Telecom...,AS8280
SLICKVPN,Optimus IT,AS48894
SLICKVPN,Velocihost,AS63452
SLICKVPN,Interhost Communication Solutions,AS61102
SLICKVPN,ReliableSite.Net,AS23470
SLICKVPN,Centrilogic,AS31863
SLICKVPN,eNET,AS10297
SLICKVPN,CDM,AS6428
SLICKVPN,Voice-Net,AS199319
SPEEDIFY,Atlas Networks,AS21743
SPEEDIFY,Zappie Host,AS61138
SPEEDIFY,Sternforth trading as WebWorld,AS30900
SPEEDIFY,I4W - Web Solutions,AS204094
SPEEDIFY,Iksir Internet Hizmetleri,AS206991
SPEEDIFY,Interhost Communication Solutions,AS61102
SURFSHARK,Hostcenter,AS45382
SURFSHARK,Hydra Communications,AS58325
SURFSHARK,Data Center Experts,AS205676
SURFSHARK,Edgoo Networks Unipessoal,AS47943
SURFSHARK,Ecoband,AS327814
THUNDERVPN,FranTech Solutions,AS53667
THUNDERVPN,Baxet Group,AS26383
THUNDERVPN,Baxet,AS51659
THUNDERVPN,DMIT Cloud Services,AS906
TIKVPN,Green Floid,AS15626
TIKVPN,Atlas Networks,AS21743
TIKVPN,Vietnam F Tech,AS140832
TIKVPN,Baxet,AS49392
TIKVPN,Xnnet,AS932
TIKVPN,Baxet Group,AS26383
TIKVPN,iFog,AS34927
TIKVPN,Siamdata Communication,AS56309
TIKVPN,Optage,AS17511
TIKVPN,netcup GmbH - Manassas,AS214996
TIKVPN,netcup,AS197540
TIKVPN,Red Cientifica Peruana,AS3132
TIKVPN,Din Server Group,AS215052
TIKVPN,Portfast,AS8916
TIKVPN,Dattatec.com,AS27823
TORGUARD,iHosting Servicios Internet,AS28099
TORGUARD,Baxet,AS51659
TORGUARD,RTComm.RU,AS8920
TORGUARD,O.M.C. Computers & Communications,AS44709
TORGUARD,On-Line,AS42655
TORGUARD,National Telecom Public,AS9931
TUNNELBEAR,Aéza International,AS210644
TUNNELBEAR,Ivanov Vitaliy Sergeevich,AS48031
TUNNELBEAR,I4W - Web Solutions,AS204094
TUNNELBEAR,Kertinis valstybes telekomunikaciju...,AS6769
TURBOVPN,EDIS,AS57169
URBANVPN,Enzu,AS18978
URBANVPN,KIRZ Service Provider,AS24187
URBANVPN,Media Antar Nusa,AS23679
URBANVPN,iTools,AS63962
URBANVPN,CommuniLink Internet,AS38277
URBANVPN,CV Argon Data Communication,AS58477
URBANVPN,Support Chain,AS60591
URBANVPN,Aktsiaselts WaveCom,AS34702
URBANVPN,Hostcenter,AS45382
URBANVPN,Asergo Holding,AS30736
URBANVPN,Al-Hadatheh Lil-Itisalat Wa Al-Tech...,AS47887
URBANVPN,Optima Telecom,AS39819
URBANVPN,ServerAstra,AS56322
URBANVPN,IpHost P.C.,AS47521
URBANVPN,Internetport Sweden,AS49770
URBANVPN,VIDOLU Group Pty Ltd-Web4Africa,AS327813
URBANVPN,ST Digital,AS328840
URBANVPN,Ready Server,AS63930
URBANVPN,Digital Storage,AS56153
URBANVPN,Vitro,AS23930
URBANVPN,Multinet Broadband,AS135523
URBANVPN,Shinjiru Technology,AS45839
URBANVPN,Eastern Telecommunications Philippi...,AS9658
URBANVPN,OneAsiaHost,AS59211
URBANVPN,453 Ladplacout Jorakhaebua,AS56067
URBANVPN,Astute Internet,AS54527
URBANVPN,Navegalo,AS28110
URBANVPN,HostDime.com,AS33182
URBANVPN,Batterflyai Media,AS59580
URBANVPN,Hostoweb,AS37738
URBANVPN,Faraso Samaneh Pasargad,AS57497
URBANVPN,Corporación Gala IT,AS263767
URBANVPN,Melita,AS200805
URBANVPN,Ivanov Vitaliy Sergeevich,AS48031
URBANVPN,Private services Unitary Enterprise...,AS50294
URBANVPN,Plus Hosting Grupa,AS12417
URBANVPN,Administracion Nacional de Telecomu...,AS6057
URBANVPN,Puntonet,AS22724
URBANVPN,WORLDBUS (TradeZone),AS203647
URBANVPN,GPLHost,AS45887
URBANVPN,I4W - Web Solutions,AS204094
URBANVPN,PE Fedinyak Sergey Vyacheslavovich,AS203087
URBANVPN,Iksir Internet Hizmetleri,AS206991
URBANVPN,O.M.C. Computers & Communications,AS44709
URBANVPN,Equipos Y Sistemas,AS18840
URBANVPN,Axarnet Comunicaciones,AS50926
URBANVPN,Annarsy,AS39383
URBANVPN,Cablecolor,AS27884
URBANVPN,Cyber Cast International,AS27956
URBANVPN,w1n,AS42237
URBANVPN,SuperHosting.BG,AS201200
URBANVPN,Hostpro Lab,AS196645
URBANVPN,Icosnet,AS36891
URBANVPN,Xairnet,AS46941
URBANVPN,Servicios y Telecomunicaciones,AS27988
URBANVPN,Comte,AS27839
URBANVPN,Soc. Comercial Wirenet Chile,AS265831
URBANVPN,Radiografica Costarricense,AS3790
URBANVPN,Servnet Mexico,AS28546
URBANVPN,Dialog Axiata,AS18001
VPNLUMOS,Scalaxy,AS58061
VPNUNLIMITED,Akton,AS25467
VPNUNLIMITED,Aruba,AS31034
VPNUNLIMITED,Pilot Fiber,AS46450
VPNUNLIMITED,Green Floid,AS50979
VPNSECURE,WHG Hosting Services,AS199404
VPNSECURE,Zemlyaniy Dmitro Leonidovich,AS47987
VPNSECURE,Netwise Hosting,AS60800
VPNSECURE,Serverum,AS59615
VPNSECURE,EDIS,AS57169
VPNSECURE,Ultahost,AS44259
WLVPN,GB Network Solutions,AS132372
WLVPN,Sharktech,AS46844
WLVPN,Innova Net Telecom,AS271728
WLVPN,Overplay,AS54138
WLVPN,FiberHub (VegasNAP),AS53340
WLVPN,Network Transit Holdings,AS11042
WINDSCRIBE,Free Range Cloud Hosting,AS53356
WINDSCRIBE,VolumeDrive,AS46664
WINDSCRIBE,Delska Lithuania,AS62282
WINDSCRIBE,Ace Host,AS398779
WINDSCRIBE,Binary Racks,AS59895
WINDSCRIBE,HCN Dongjak,AS7562
WINDSCRIBE,Siamdata Communication,AS56309
WINDSCRIBE,NZ Network Enterprise,AS147176
WINDSCRIBE,Vimpelcom,AS3216
WINDSCRIBE,Madgenius.com,AS55154
WINDSCRIBE,Albanian Fiber Telecommunications,AS198890
WINDSCRIBE,Veesp,AS43317
WINDSCRIBE,Selectel,AS49505
WINDSCRIBE,Pacswitch Globe Telecom,AS55536
WINDSCRIBE,Bangmod Enterprise,AS58955
WINDSCRIBE,Cloud Hosting Indonesia,AS136052
WINDSCRIBE,DE,AS63989
WINDSCRIBE,Atharva Telematika Persada,AS150249
WINDSCRIBE,Super Godzilla Communications GK,AS138652
WINDSCRIBE,Krypt Technologies,AS35908
WINDSCRIBE,UnmeteredInternet.com,AS54133
WINDSCRIBE,Host Africa,AS329184
WINDSCRIBE,FlokiNET,AS200651
WINDSCRIBE,AxcelX Technologies,AS33083
WINDSCRIBE,Proservice,AS47810
WINDSCRIBE,Marcatel Com,AS19332
WINDSCRIBE,EPIC,AS15805
XVPN,Bunny Technology,AS399073
XVPN,Green Floid,AS50979
ZOOGVPN,Hoopla Hosting,AS133950
ZOOGVPN,I4W - Web Solutions,AS204094
ZOOGVPN,RJ Network OU,AS202759
"NORDVPN, AIRVPN, OTHERS",,AS9009
NORDVPN,,AS136787
NORDVPN,,AS212238
NORDVPN,,AS212239
SURFSHARK,,AS209854
EXPRESSVPN,,AS137409
EXPRESSVPN,,AS206092
EXPRESSVPN,,AS396356
PROTONVPN,,AS209103
