tibetan,transliteration,phonetics
"ཧ་རི་ནི་ས","ha ri ni sa",""
"ཤ[ཱ]?ནྟི[ཾང]","śantiṃ","shanting"
"ཝ་ཤཾ","vaśaṃ","washam"
"ཏྲཱ་ས་ཡ","trāsaya",""
"ར་ལོ་ཀི་ཏེ","ralokité",""
"མུ་ཁེ","mukhé",""
"བྷཱུ་ཏ","bhūta",""
"ཨ་ཀརྵཱ་ཡ","akarṣāya","akarshaya"
"མ་ཏི་ས་ར","matisara",""
"ཤཱུ་ནྱ་ཏ","śūnyata","shunyata"
"སྭ[་]?བྷཱ[་]?[ཝབ]","svabhāva",""
"སྭ[་]?བྷ[་]?[ཝབ]","svabhava",""
"ཨཱཏྨ","ātma",""
"ཨཏྨ","atma",""
"ཀོ྅[ ]?་ཧཾ","kö haṃ","kö hang"
"ཨ་ཡུ་ཥེ","ayuṣé","ayuké"
"ཨཱ་ཡུ་ཥེ","āyuṣé","ayuké"
"ཨ་ཡཱུ་ཥེ་","ayūṣé","ayuké"
"བྷུ་བ་ནཱ་ནི","bhuvanāni",""
"སཾ་ངྷ་ར","saṃṅhara","sanghara"
"སཾ་དྷ་ར","saṃdhara",""
"སཾ་བྷ་ར","saṃbhara",""
"སྟྭམྦྷ་ཡ་ནན","stvaṃbhaya nen",""
"སྟྭཾ་?བྷ་ཡ་ནན","stvaṃbhaya nen",""
"སྟྭམྦྷ","stvaṃbha",""
"སྟྭཾ་?བྷ","stvaṃbha",""
"བྷ་ཡ་ནན","bhaya nen",""
"ཨཱ་ཡུཿ","āyuḥ",""
"སརྦ","sarva",""
"ས་མ་ཏི","samati",""
"མུ་དྲཱ་ཎཱི","mudrāṇī",""
"ཨུ་ད་ཀ","udaka",""
"སཾ་ཧ་ར་ཎ་","saṃharaṇa",""
"བི་བྷཱུ་ཥི་ཏ","vibhūṣita","vibhushita"
"ཀཱིརྟི་ཀ་རེ","kīrtikaré",""
"ཀཱིརྟི","kīrti",""
"ཀླེ་ཤ","kléśa","klésha"
"ཀལྤ","kalpa",""
"ཀ་རི","kari",""
"ཀུ་མ་རཱུ","kumarū",""
"ག་རུ་ཌ","garuḍa",""
"ཀུཎྜ་ལ་","kuṇḍala",""
"ཀུཎྜ","kuṇḍa",""
"ཨམྲྀ་ཏོདྦྷ་བ","amṛtod bhava","amritod bhava"
"སམྱཀྶཾ་བུད་དྷ","samyak saṃbuddha",""
"སམྱ་ཀྶཾ་བུདྡྷ","samyak saṃbuddha",""
"སཾ་བུད་དྷ","saṃbuddha",""
"བུ[་]?དྡྷ","buddha",""
"བྷུ[་]?དྡྷ","bhuddha",""
"བུད་དྷ","buddha",""
"ཤཱུ་ར","śūra","shura"
"ཨ་?མཱ་?ར་?ཎ[ིྀ]་","amāraṇi",""
"ཨ་?མ་?ར་?ཎ[ིྀ]་","amaraṇi",""
"ཛཱི་?(ཝ|བ)ནྟི་?ཡེ་","jīvantiyé","dziwentiyé"
"ཛཱི་?(ཝི|བི)ནྟེ་?ཡེ་","jīwintéyé","dziwintéyé"
"ཛཱི་?(ཝེ|བེ)ནྟེ་?ཡེ་","jīwentéyé","dziwentéyé"
"ཛཱི་?(ཝ|བ)ནྟི","jīvanti","dziwenti"
"ཡོ་གི་ནི","yogini",""
"ཡོ་ཀི་ནི","yogini",""
"མ་ཧཱ་བཱ་ལ","mahābāla",""
"བྷོ་དྷི་ཙིཏྟ","bhodhicitta",""
"བོ་དྷི","bodhi",""
"ཀཱི་ལ་ཡ","kīlaya",""
"ཀཱི་ལ","kīla",""
"ནཱ་ག་དུ","nāgadu",""
"ཨཱ་ས་ན","āsana",""
"མནྟྲ","mantra",""
"ས་མནྟ་ཏོ","samantato",""
"ས་མནྟ","samanta",""
"ནི་ཝ་ར་ཎ","nivaraṇa",""
"ཨཀྵ","akṣa","aksha"
"ཏིཥྛ་ལྷན","tiṣṭha lhan","tishtha len"
"ཏིཥྠ་ལྷན","tiṣtha lhan","tishta len"
"ཏིཥྛནྟུ","tiṣṭhantu","tishthantu"
"ཏིཥྛ","tiṣṭha","tishtha"
"ཏིཥྠ","tiṣtha","tishta"
"ལྷན","lhan","lhen"
"གཱིརྟི","gīrti",""
"ནཱིརྟི","nīrti",""
"ཨཱ་ཛྙཱ་པ་ཡ","ājñāpaya",""
"ཨཱ་ཛྙཱ","ājñā",""
"པཱ་པཾ","pāpaṃ",""
"མཱ་མ་ཀཱི","māmakī",""
"ཀི་རི","kiri",""
"ཏཱ་ར","tāra",""
"ཤུ་ཏི","śuti","shuti"
"སྨྲྀ་ཏི","smṛti","smriti"
"པྲཛྙ","prajña",""
"ཛྙཱ་ན","jñāna","gyana"
"ཝཱཀྐ","vākka",""
"ཝཱཀ","vāka",""
"ཙིཏྟ","citta","chitta"
"པཱ་ར་མི་ཏཱ","pāramitā",""
"ཏུ་?ཏྟཱ་?རེ","tuttāré",""
"ཏུ་རེ","turé",""
"ན་མ","nama",""
"ཨ་ཧ་རི་ནི་ས","a ha ri ni sa",""
"ཧ་ར","hara",""
"བྷ་ག་ཝ་ཏེ","bhagavaté","bhagawaté"
"བྷ་ག་ཝ་ཏ","bhagavat","bhagawat"
"པ་རི་ཤོ་དྷ་ན","pariśodhana","parishodhana"
"པ་རི་ཤོ་དྷ","pariśodha","parishodha"
"བི་ཤུདྡྷ","viśuddha","vishuddha"
"བི་ཤོ་?དྷ་ན","viśodhana","vishodhana"
"སཾ་ཤོ་?དྷ་ཡ","saṃśodhaya","samshodhaya"
"ཤོ་?དྷ་ན","śodhana","shodhana"
"ཤོ་?དྷ་ཡ","śodhaya","shodhaya"
"ཤོ་?དྷ","śodha","shodha"
"བི་ཤུད་དྷ","viśuddha","vishuddha"
"ཤུདྡྷྭོཿ","śuddhvoḥ","shuddho"
"ཤུཿ","śuddhva","shuddha"
"ཤུདྡྷྭ","śuddhva","shuddha"
"ཤུ[་]?དྡྷ","śuddha","shuddha"
"ཤུད་དྷ","śuddha","shuddha"
"ཨ་དྷིཥྛི་ཏ","adhiṣṭhita","adishthita"
"སུ་པྲ་བྷེ","suprabhé",""
"ཤཱ་ས་ནི","śāsani","shasani"
"པྲ་བྷེ","prabhé",""
"གམྦྷི་རེ","gambhiré",""
"གམྦྷ","gambha",""
"ནི་རྡེ","nirdé",""
"ནི་བི་ཤ","niviśa","nivisha"
"ནི་ནི་མཿ","ninimaḥ",""
"ཀ་མ་ལ","kamala",""
"ཨ་ཝ་ལོ་ཀི་ཏེ་ཤྭ་ར","avalokitéśvara","avalokiteshvara"
"ཨ་ཝ་ལོ་ཀི་ཏ","avalokita",""
"ཨཱརྱ","ārya",""
"ཨཱརྻ","ārya",""
"བིརྱཱ","viryā",""
"ཀཱ་རཿ","kāraḥ",""
"ཀཱ་རུ་ཎ","kāruṇa",""
"ཨ་ནུ་ག་ཏེ","anugaté",""
"ཨུ་ཏ་བྷ་ཝེ","utabhavé",""
"མེ་ནཱ་ཤ་ཡ","ménāśaya","ménashaya"
"ཀུ་རུཾ","kuruṃ",""
"ཨཱཿལི","āḥli",""
"ཀཱ་ལི","kāli",""
"གརྫ་","garja",""
"པཉ[ྩྪ]ནྡྲི་ཡ་","pañcandriya","panchandriya"
"པཉ[ྩྪ]ནྡྲ","pañcandra","panchandra"
"པཉྩ","pañca","pancha"
"བྷོ་དྷ་ན","bhodhana",""
"བོ་དྷ་ན","bodhana",""
"ཀྲོ་ཏ","krota",""
"ཀྲ[ིྀ]ཏ","kṛta","krita"
"གུ་རུ","guru",""
"ཨི་དཾ","idaṃ",""
"ཨི་མཾ","imaṃ",""
"སི་?དྡྷ","siddha",""
"གི་ནི","gini",""
"ཧྲི་ད་ཡ","hridaya",""
"ཧྲྀ་ད་ཡཾ","hṛdayaṃ","hridayam"
"ཧྲྀ་ད་ཡ","hṛdaya","hridaya"
"ཀ་མཱ་ལཱཀྵ","kamālākṣa","kamalaksha"
"མཱ་ལཱི་ནཱི","mālīnī",""
"སིནྱ","sinya",""
"བི་ནཱ་ཤ་ན","vināśana","vinashana"
"བི་དྲ་པ་ཎ","vidrapaṇa",""
"སཱ་ག་ར","sāgara",""
"བྷ་དྲ","bhadra",""
"ཙཀྲ","cakra","chakra"
"བི་ཀྲཱནྟ","vikrānta",""
"ག་མི་ནི","gamini",""
"ཨ་མི་དྷེ་ཝ","amidhéva",""
"སམྦྷ་ཝ","sambhava",""
"སཾ་བྷ་བ","saṃbhava",""
"ག་ག་ན","gagana",""
"བིཥྐཾ","viṣkaṃ","vishkam"
"བྷི་ནི","bhini",""
"ནཱི་ས་རཱ་ཡ","nīsarāya",""
"མནྟ་ཎི","mantaṇi",""
"མནྟ","manta",""
"དཱ་ནཾ","dānaṃ",""
"ཧསྟ","hasta",""
"རུ་ཏྲི","rutri",""
"ཀུ་རུ་ཡེ","kuruyé",""
"མ་རུ་ཏ","maruta",""
"པྲ་ས་ར","prasara",""
"མུ་ན་ཡེ","munayé",""
"ཏྲ་ཡཱ་ཡ","trayāya",""
"ཀཾ་ཀ་ནི","kaṃkani",""
"རོ་ཙ་ནི","rocani","rochani"
"ཏྲོ་ཊ་ནི","troṭani","trotrani"
"ཏྲཱ་ས་ནི","trāsani",""
"ཏྲཱ་པྲ་ཏི","trāprati",""
"པྲ་ཏི་ཧ་ན","pratihana",""
"ཨ་བྷི་ཥིཉྩ་","abhiṣinca","abhikindza"
"ཨ་བེ་ཤ་ཡ་","abéśaya","abéshaya"
"སྨ་ར","samara",""
"ས་མ་ཡ","samaya",""
"པ་རཾ་པ་ར","paraṃpara",""
"ཎི་མེ","ṇimé",""
"མ་ནུ་ག་ཏ","manugata",""
"ན་བྷུ་ཛེ","nabhujé",""
"སིཾ་ཧ","siṃha",""
"ནཱ་ད","nāda",""
"ཨཱ་དྱ་","ādya",""
"ཏདྱ[་]?ཐ","tadyatha",""
"ཨ་མི་ཏ་བྷ","amitabha",""
"ཨ་ཛི་ཏཉྫ་ཡ","ajitenjaya",""
"ཙ་ར","cara","chara"
"ཨ་ལཾ་ཀཱ་ར","alaṃkāra",""
"ར་ཙ་ཧྲི་ཡ","racahriya","rachahriya"
"ཡ་ཀ་ལ་","yakśakala","yakshakala"
"ཡ","yakśa","yaksha"
"ཡཀྵ","yakśa","yaksha"
"རཱ་ཛ","rāja",""
"སྟྲཻ་ཡ","straiya",""
"སྭ་སྟི","svasti",""
"དྷཱི་ཀ","dhīka",""
"ཏ་ཐཱ་ག་ཏ","tathāgata",""
"ཨརྷ་ཏ","arhata",""
"སམྱཀ","samyak",""
"ཨ་མི་ཏོད","amitod",""
"བྷ་བ","bhava",""
"ཨཱ་མཱི་ཏ","āmīta",""
"ཨ་མི་ཏ","amita",""
"མནྟ","manta",""
"མཻ་ཏྲ","maitra",""
"བཛྲ","vajra",""
"ཨུ་མ་དེ་ཝ","umadeva",""
"དེ་ཝ་ཛ","dévaja",""
"དེ་[ཝབ]","déva","déwa"
"དྷེ་[ཝབ]","déva","déwa"
"ཁཱ་ཧི","khāhi",""
"ཤ་མ་ཡ","śamaya","shamaya"
"སམྦྷ","sambha",""
"ཨ་གྲ","agra",""
"ཨ་པྲ་ཏི","aprati",""
"ཏྲཻ་ལོ་ཀྱ","trailokya",""
"ཨངྐུ་ཤ","angkuśa",""
"ཨངྐུ","angku",""
"ཨ་མོ་གྷ་པཱ་ཤ","amoghapāśa","amoghapasha"
"གུ་ཧྱ","guhya",""
"ལོ་ཙ་ན","locana","lochana"
"བ་སུ་དེ","vasudé",""
"ཤྭ་རཱི","śvarī","shvari"
"ཤྭ་ར","śvara","shvara"
"སཱ་དྷ་ཡ","sādhaya",""
"སཱ་དྷ་ན","sādhana",""
"ཨ་ཀ་ཡ","akarśaya","akarshaya"
"ཨ་ཀཱ་ར","akāra",""
"ཏྭཏ","tvata",""
"པཱུ་ཛ","pūja",""
"བི་པུ་ལ","vipula",""
"པཱཎ་ཌ་ར","pāṇḍara",""
"ཀ་མཱ་ལ","kamāla",""
"ཨསྟ་པ་རི","astapari",""
"བྷོ་གི","bhogi",""
"ཨ་མོ་གྷ","amogha",""
"པཱ་ཤ","pāśa","pasha"
"ཨ་མ་ལ","amala",""
"ཤིནྟྔ","śintang","shintang"
"དཱ་ཡ་ཀ","dāyaka",""
"པ་ར་ད","parada",""
"པྲ་བརྟ་ཡ","pravartaya",""
"བརྟ","varta",""
"མཎྜ[་]?ལ","maṇḍala",""
"ས་པ་རི་ཝཱ་ར","saparivāra",""
"ས་པཱ་རི་ཝཱ་ར་","sapārivāra",""
"དྷཱ་ཀི་ནཱི་","ḍākinī",""
"དྷཱ་ཀི་ནི","ḍākini",""
"དྷཱ་གི་ནི","ḍākini",""
"ཌཱ་ཀི་ནཱི","ḍākini",""
"དྷརྨ་པཱ་ལ","dharmapāla",""
"དྷརྨཱ་ཎཱཾ་","dharmāṇāṃ",""
"ཨ་བྷི་ཥེ་ཀ","abhiṣéka","abhishéka"
"ཙཀྵུ","cakṣu","chakshu"
"དུརྒ་ཏི","durgati",""
"ཨཱ་ཡུརྡ་ད","āyurdada",""
"ཨ་ཡུརྡ་ད","ayurdada",""
"ཨཱ་ཡུརྫྙཱ་","āyurda",""
"ས་མ་བ་ལ","samavala",""
"བ་ར་ཎ","varaṇa",""
"ལ་ཀྵ་ཎ","lakṣaṇa","lakshana"
"དྷརྨ་དྷཱ[་]?(རྟ|ཏ)","dharmadhāta",""
"དྷརྨ་ཏ","dharmata",""
"དྷརྨྨ?","dharma",""
"དྷཱ(རྟ|ཏ)","dhata",""
"ཧེ་ཏུནྟེ་ཥཱནྟ་ཐཱ་ག་ཏ","hétun téṣān tathāgata","hétun téshan tathagata"
"ཧྱ་ཝ་དཏ","hyavadat","hayavadet"
"ཏེ་ཥཱཉྩ་ཡོ","téṣāncayo","téshenchayo"
"ནི་རོ་དྷ","nirodha",""
"མ་ནུ་པཱ་ལ་ཡ","manupālaya",""
"ཏྭེ་ནོ་པ","tvénopa",""
"དྲྀ་ཌྷོ","dṛḍho","dridho"
"མེ་བྷ་ཝ","mébhava",""
"སུ་ཏ[ོཽ]་ཥྱ","sutoṣya","sutoshya"
"སུ་པོ་ཥྱ","supoṣya","suposhya"
"ཡ[་]?ཙྪ","yaca","yacha"
"མྨེ་པྲ","mépra",""
"སུ་ཙ་མ","sucama","suchama"
"བྷ་ག་ཝཱན","bhagavān",""
"མུཉྩ","munca","muncha"
"པྲ་བྷ་ཝ","prabhava",""
"པདྨཱནྟ་ཀྲྀ་ཏ","padmānta kṛta",""
"པདྨཱནྟ","padmānta",""
"པདྨ་ན་ཏ","padmanta",""
"པདྨན་ཏ","padmanta",""
"ཨེ་ཝཾ","évaṃ",""
"བཱ་ད","vāda","vada"
"ཤྲ་མ་ཎ","śramaṇa","shramana"
"རཀྟ","rakta",""
"དུརྒ","durga",""
"ཀཱ་ཡ","kāya",""
"བཱ་བཱ","vāvā",""
"ཏྲ་ཊ","traṭa","tratra"
"ཊ་ཊ","ṭaṭa","tratra"
"ཧ་ན","hana",""
"ཧ་ལ","hala",""
"མ་མ","mama",""
"ཀུ་རུ","kuru",""
"ཧུ་རུ","huru",""
"རུ་ལུ","rulu",""
"རུ་ཊུ","ruṭu","rutru"
"ཡ་ན","yana",""
"མཱ་ལ","māla",""
"མཱ་ར","māra",""
"ཤ་ན","śana","shana"
"དྷཱ་ཀ","dhāka",""
"དྷཱ་ར","dhāra",""
"དྷཱ་ཏ","dhāta",""
"དྷཱ་ར","dhāra",""
"བིནྡ","binda",""
"མ་ཧ","maha",""
"སུ་ཁ","sukha",""
"མ་ཎ","maṇa",""
"པདྨ","padma",""
"ཀརྨ","karma",""
"གཉྫ","ganja",""
"རཏྣ","ratna",""
"རཏ་ཎ","ratṇa",""
"མུ་དྲ","mudra",""
"མུ་ན","muna",""
"ཧ་ཏ","hata",""
"ར་མ","rama",""
"བཱི་ར","vīra",""
"བྷ་ཝ","bhava",""
"བྷཉྫ","bhañja",""
"དྷྲྀ་ཀ","dhṛka","dhrika"
"ཛྭཱ་ལ་ན","jvālana",""
"ཛྭ་ལ་ན","jvalana",""
"ཛྭཱ་ལ","jvāla",""
"ཛྭ་ལ","jvala",""
"གྷྲྀཧྞ་པཱ་ཡ","ghṛhaṇapāya","ghrihanapaya"
"གྲྀ་ཧྣནྟུ་","ghṛhanentu","ghrihanentu"
"གྷྲྀཧྞ","ghṛhaṇa","ghrihana"
"གྲྀ་?ཧྞ","gṛhaṇa","grihana"
"སུ་?མྦྷ་ནི","sumbhani",""
"སུ་?མྦྷ","sumbha",""
"ཨཱ་ན་ཡ","ānaya",""
"རཱ་ཙ་ཡ","racaya","rachaya"
"བྷནྡྷ","bhandha",""
"བནྡྷ","bandha",""
"ན་ག་ན","nagana",""
"དྷརྨྨ","dharma",""
"དྷརྨ","dharma",""
"སཏྭ","satva",""
"ས་ཏྭ","satva",""
"ཧེ་རུ་ཀ","héruka",""
"ཨ་རྩིག་","artsik",""
"ནིརྩིག","nirtsik",""
"རྩིག","rtsik",""
"རྡོ་རྗེ","dorjé",""
"བྷག","bhaga",""
"གྲོ་བོ་ལོད་","trowolö","trowolö"
"ལ་ཧུ","lahu",""
"ཛི་ན","jina",""
"ས་མ","sama",""
"ས་ར","sara",""
"སཱ་ར","sāra",""
"པ་ར","para",""
"ཧ་ས","hasa",""
"ཏ་ཀ","taka",""
"ད་ཧ","daha",""
"ཧུ་ལུ","hulu",""
"མི་ལ","mila",""
"ཨ་?ར་?ལླི","aralli",""
"ཨཱ་?ར་?ལླི","āralli",""
"རལླི","ralli",""
"ཨ་?ར་?ལི","arali",""
"ཨཱ་?ར་?ལི","ārali",""
"རཀྴ","rakśa","raksha"
"རཀྵ","rakṣa","raksha"
"རཀྵ","rakṣa","raksha"
"པ་ཙ","paca","pacha"
"ཎི་བི","ṇivi",""
"ག་ཏ","gata",""
"རཱ་ག","rāga",""
"མེ་གྷ","mégha",""
"སེང་ཧ","sengha",""
"སེང","seng",""
"མུ་ཁ","mukha",""
"དུ་ཁེ","dukhé",""
"ཙཎྜ","caṇḍa","chandra"
"དྷཱ་ཏུ","dhātu",""
"ཨཱ་ཏ","āta",""
"ཨ་ཏ","ata",""
"ཧེ་ཏུ","hétu",""
"ཨརྒྷཾ","arghaṃ",""
"པཱ་དྱཾ","pādyaṃ",""
"པདྱཾ","padyaṃ",""
"པུ་?ཥྤེ","puṣpé","pushpé"
"པུ་?ཥྚིཾ","puṣṭiṃ","pushting"
"པུ་?ཥྚི","puṣṭi","pushti"
"དྷཱུ་པེ","dhūpé",""
"ཨཱ་ལོ་ཀེ","āloké",""
"གནྡྷེ","gandhé",""
"གནྜེ","ganḍé",""
"གཎྜེ","gaṇḍé",""
"ནེ་བི་དྱ་","nevidya",""
"ནཻ་བི་དྱ་","naividya",""
"ནཻ་ཝི་[ཏད]ྱ","naividya",""
"ནཻ་ཝེ་[ཏད]ྱ","naivedya",""
"ཤཔྡ","śapda","shapda"
"ཤབྡ","śapda","shapda"
"རཱུ་པ","rūpa",""
"རཱ་ས","rāsa",""
"ནན","nen",""
"སྤརྴེ","sparśé","sparshé"
"པྲ་?ཏཱི་?ཙྪ","pratīcca","praticha"
"པྲ་?ཏི་?ཙྪ","praticca","praticha"
"པྲ་?ཏཱི་?ཙྩ","pratīcca","praticha"
"པྲ་?ཏི་?ཙྩ","praticca","praticha"
"པུ་ཛ་","puja",""
"ཨུཙྪིཥྚ་","ucchiṣta","uchishta"
"བ་ལིངྟ་","baliṃta","balingta"
"ཧཱུྃ་ཀཱ་ར་","hūṃkāra","hungkara"
