title,year,rank,imdb_id
The Magnificent Ambersons,1942,169,
Hiroshima mon amour,1959,169,
Letter from an Unknown Woman,1948,169,
Charulata,1964,169,
"The Good, the Bad and the Ugly",1966,169,
Red Desert,1964,169,
Black Narcissus,1947,169,
Memories of Underdevelopment,1968,169,
The Exterminating Angel,1962,169,
Under the Skin,2013,169,
Heat,1995,169,
Symbiopsychotaxiplasm: Take One,1967,169,
Out 1,1990,169,
Un chien andalou,1928,169,
L'Argent,1983,169,
Last Year at Marienbad,1961,169,
Los olvidados,1950,157,
Ikiru,1952,157,
Out of the Past,1947,157,
Vivre sa vie,1962,157,
Amarcord,1972,157,
Once upon a Time in America,1983,157,
The Gospel According to St. Matthew,1964,157,
Where Is the Friend's House?,1987,157,
All about My Mother,1999,157,
A City of Sadness,1989,157,
Orlando,1992,157,
West of the Tracks,2002,157,
Le Bonheur,1965,152,
Meghe Dhaka Tara,1960,152,
Days of Heaven,1978,152,
West Indies: The Fugitive Slaves of Liberty,1979,152,
Twin Peaks: The Return,2017,152,
Chinatown,1974,146,
La Grande Illusion,1937,146,
India Song,1975,146,
Alien,1979,146,
Vampyr,1932,146,
The Watermelon Woman,1997,146,
Gertrud,1964,136,
All That Heaven Allows,1955,136,
Partie de campagne,1936,136,
Pickpocket,1959,136,
The Seventh Seal,1957,136,
Trouble in Paradise,1932,136,
Sambizanga,1972,136,
The Wild Bunch,1969,136,
Les Enfants du paradis,1945,136,
La ciénaga,2001,136,
It's a Wonderful Life,1947,133,
Notorious,1946,133,
Lawrence of Arabia,1962,133,
Pulp Fiction,1994,129,
Raging Bull,1980,129,
His Girl Friday,1939,129,
Fanny and Alexander,1982,129,
The Ascent,1976,128,
Only Angels Have Wings,1939,122,
The Umbrellas of Cherbourg,1964,122,
Johnny Guitar,1954,122,
The Colour of Pomegranates,1968,122,
The Matrix,1999,122,
There Will Be Blood,2007,122,
The Thing,1982,118,
The Texas Chain Saw Massacre,1974,118,
The Conformist,1970,118,
"Aguirre, Wrath of God",1972,118,
Don't Look Now,1973,114,
Nashville,1975,114,
A Woman under the Influence,1974,114,
To Be or Not to Be,1942,114,
Bringing Up Baby,1938,108,
The Man Who Shot Liberty Valance,1962,108,
Touch of Evil,1958,108,
Wild Strawberries,1957,108,
The Wizard of Oz,1939,108,
"Goodbye, Dragon Inn",2003,108,
The Godfather Part II,1974,104,
Jaws,1975,104,
Come and See,1985,104,
La Maman et la Putain,1973,104,
Vagabond,1985,101,
The House Is Black,1962,101,
Rio Bravo,1958,101,
Once upon a Time in the West,1968,95,
A Man Escaped,1956,95,
The General,1926,95,
Black Girl,1965,95,
Tropical Malady,2004,95,
Get Out,2017,95,
Parasite,2019,90,
Yi Yi,1999,90,
Ugetsu Monogatari,1953,90,
The Leopard,1962,90,
Madame de...,1953,90,
The Shining,1980,88,
CHUNGKING EXPRESS,1994,88,
Blue Velvet,1986,85,
The Spirit of the Beehive,1973,85,
Pierrot le fou,1965,85,
Histoire(s) du Cinéma,1988,78,
A Matter of Life and Death,1946,78,
Modern Times,1936,78,
Sunset Blvd.,1950,78,
Céline and Julie Go Boating,1974,78,
A Brighter Summer Day,1991,78,
Sátántangó,1994,78,
Spirited Away,2001,75,
Sansho the Bailiff,1954,75,
Imitation of Life,1959,75,
L'avventura,1960,72,
Journey to Italy,1954,72,
My Neighbour Totoro,1988,72,
The Red Shoes,1948,67,
Metropolis,1927,67,
Andrei Rublev,1966,67,
La Jetée,1962,67,
The Gleaners and I,2000,67,
Touki Bouki,1973,66,
The Third Man,1949,63,
GoodFellas,1990,63,
Casablanca,1942,63,
Daughters of the Dust,1991,60,
La dolce vita,1960,60,
Moonlight,2016,60,
Sans soleil,1982,59,
The Apartment,1960,54,
Sherlock Jr.,1924,54,
Le Mépris,1963,54,
Battleship Potemkin,1925,54,
Blade Runner,1982,54,
News from Home,1976,52,
Fear Eats the Soul,1974,52,
The Piano,1992,50,
The 400 Blows,1959,50,
Ordet,1955,48,
Wanda,1970,48,
Barry Lyndon,1975,45,
North by Northwest,1959,45,
The Battle of Algiers,1966,45,
Stalker,1979,43,
Killer of Sheep,1977,43,
Rashomon,1950,41,
Bicycle Thieves,1948,41,
Rear Window,1954,38,
À bout de souffle,1960,38,
Some Like It Hot,1959,38,
M,1931,36,
City Lights,1931,36,
Pather Panchali,1955,35,
L'Atalante,1934,34,
8½,1963,31,
Psycho,1960,31,
Mirror,1975,31,
Portrait of a Lady on Fire,2019,30,
Taxi Driver,1976,29,
Daisies,1966,28,
Shoah,1985,27,
The Night of the Hunter,1955,25,
Au hasard Balthazar,1966,25,
Do the Right Thing,1989,24,
Playtime,1967,23,
Late Spring,1949,21,
The Passion of Joan of Arc,1927,21,
Seven Samurai,1954,20,
Apocalypse Now,1979,19,
Persona,1966,18,
Close-up,1989,17,
Meshes of the Afternoon,1943,16,
The Searchers,1956,15,
Cléo from 5 to 7,1962,14,
La Règle du jeu,1939,13,
The Godfather,1972,12,
Sunrise A Song of Two Humans,1927,11,
Singin' in the Rain,1951,10,
Man with a Movie Camera,1929,9,
Mulholland Dr.,2001,8,
Beau travail,1998,7,
2001: A Space Odyssey,1968,6,
In the Mood for Love,2000,5,
Tokyo Story,1953,4,
Citizen Kane,1941,3,
Vertigo,1958,2,
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,1,
