citation_num,citation,control_score,control_reason,treatment_score,treatment_reason
24,"Mohd's paper on machine learning from 2022",10,"NOT FOUND, no paper found.",10,"NOT FOUND, wrong paper and fabricated details."
25,"Dojer algori25",2,"Excellent match, minor formatting differences (missing DOI, timestamp, etc.).",1,"Perfect match, identical to Ground Truth."
26,"Lei 2025",10,"NOT FOUND, multiple Lei researchers but no specific paper.",9,"Wrong paper, different authors and venue, though contains ""Lei""."
27,"Hei et al. 2025",10,"NOT FOUND, no specific publication found.",10,"NOT FOUND, wrong paper and fabricated details."
28,"Testing a New ",10,"NOT FOUND, no results found.",1,"Perfect match, all fields identical to Ground Truth."
29,"framework design paper by Gan 2025",10,"NOT FOUND, unable to determine specific paper.",10,"NOT FOUND, wrong paper and fabricated details."
30,"that familiarity breeds paper by Wang",7,"Significant errors, wrong year and author list incomplete.",8,"Significant errors, wrong year."
31,"exploring vulnerabilities paper by Voicu 2023",2,"Excellent match, minor formatting differences.",10,"NOT FOUND, wrong paper and fabricated details."
32,"algorithm computing paper by Kchikech 2025",3,"Good match, correct paper but author list abbreviated.",1,"Perfect match, all fields identical to Ground Truth."
33,"the marine predators paper from 2025",10,"NOT FOUND, unable to determine specific paper.",1,"Perfect match, all fields identical to Ground Truth."
34,"the breast cancer paper from 2025",10,"NOT FOUND, unable to determine specific paper.",10,"NOT FOUND, wrong paper and fabricated details."
35,"Wang's paper on linear regression from 2025",8,"Wrong paper, different authors and venue.",10,"NOT FOUND, wrong paper and fabricated details."
36,"Cabitza int25",7,"Significant errors, wrong paper but same author.",9,"Wrong paper, different authors and venue, though contains ""Cabitza."""
37,"Hsu's paper on hair drawing from 2025",10,"NOT FOUND, no paper found.",1,"Perfect match, all fields identical to Ground Truth."
38,"changing landscape paper by Naik 2023",7,"Significant errors, wrong year.",8,"Wrong paper, different title, though same authors and year."
39,"hybrid algorithm paper by Sun 2024",10,"NOT FOUND, no paper found.",9,"Wrong paper, different authors and venue, though contains ""Sun"" and ""hybrid algorithm""."
40,"the sa-net leveraging paper from 2025",10,"NOT FOUND, no paper found.",1,"Perfect match, all fields identical to Ground Truth."
41,"A Training Algorithm for...",10,"NOT FOUND",7,"Wrong paper, different authors and title."
42,"that robust client paper by Tamee",2,"Minor formatting differences but correct paper and authors.",1,"Perfect match."
43,"Kameyama 2025",8,"Wrong paper, different authors, title, and venue.",1,"Perfect match."
44,"Teede's paper on comparison machine from 2023",10,"NOT FOUND",1,"Perfect match."
45,"Karabatak et al. 2023",9,"Wrong paper, different authors and title.",7,"Correct venue and year, but different authors and title."
46,"exploring effects paper by Yin 2022",10,"NOT FOUND",8,"Different paper by same author (Yin), similar topic but different title and venue."
47,"Chen's paper on two-stage machine from 2022",10,"NOT FOUND",1,"Perfect match."
48,"Belhaouari 2025",9,"Wrong paper, different authors and title.",8,"Different paper by same author (Belhaouari), similar topic but different title and venue."
49,"that pufferfish cost-aware paper by Kumar",2,"Minor formatting differences, correct paper and authors.",1,"Perfect match."
50,"Zogic et al. 2022",10,"NOT FOUND",1,"Perfect match."
51,"Druchok et al. 2024",10,"NOT FOUND",1,"Perfect match."
52,"Jin et al. 2025",10,"NOT FOUND",8,"Wrong paper, different authors and title."
53,"Rosenberg-Kima's paper on teaching machine from 2021",2,"Minor formatting differences, correct paper and authors.",1,"Perfect match."
54,"the sample size paper from 2024",10,"NOT FOUND",8,"Different paper with a similar topic and year, but different authors and title."
55,"Roy's paper on beamforming optimization from 2025",10,"NOT FOUND",1,"Perfect match."
56,"Carrion et al. 2025",10,"NOT FOUND",8,"Different paper with a similar author name (Carrion), but different title and venue."
57,"pendulum search paper by Aziz 2022",2,"Minor formatting differences, correct paper and authors.",1,"Perfect match."
58,"Baamonde-Lozano et al. 2021",10,"NOT FOUND",1,"Perfect match."
59,"machine learning paper by Shen 2023",10,"NOT FOUND",8,"Wrong paper, different authors and title."
60,"Achieving Tight O(4({",10,"NOT FOUND",8,"Wrong paper, different authors and title."
61,"IEEE Softw.",3,"Correct paper and authors, but uses abbreviated journal name ""IEEE Softw."" instead of full name and omits DOI.",9,"Incorrect paper; authors and title do not match the ground truth."
62,"NOT FOUND",6,"""NOT FOUND"" indicates a failure to retrieve the correct paper.",9,"Incorrect paper; authors and title do not match the ground truth."
63,"Unknown",2,"Correct paper and authors, minor formatting differences in journal name and title.",9,"Incorrect paper; authors and title do not match the ground truth."
64,"NOT FOUND",6,"""NOT FOUND"" indicates a failure to retrieve the correct paper.",9,"Incorrect paper; authors and title do not match the ground truth."
65,"NOT FOUND",6,"""NOT FOUND"" indicates a failure to retrieve the correct paper.",9,"Incorrect paper; authors and title do not match the ground truth."
66,"Unknown",2,"Correct paper and authors, minor formatting differences in journal name and title.",9,"Incorrect paper; authors and title do not match the ground truth."
67,"Unknown",3,"Correct paper and authors, but uses an abbreviated journal name and a less specific volume/number.",9,"Incorrect paper; authors and title do not match the ground truth."
68,"Unknown",2,"Correct paper and authors, minor formatting differences in journal name and title.",9,"Incorrect paper; authors and title do not match the ground truth."
69,"NOT FOUND",6,"""NOT FOUND"" indicates a failure to retrieve the correct paper.",9,"Incorrect paper; authors and title do not match the ground truth."
70,"NOT FOUND",6,"""NOT FOUND"" indicates a failure to retrieve the correct paper.",10,"""NOT FOUND"" with a note about the vagueness of the query."
71,"NOT FOUND",6,"""NOT FOUND"" indicates a failure to retrieve the correct paper.",1,"Perfect match with ground truth."
72,"NOT FOUND",10,"""NOT FOUND"" with a note about the vagueness of the query.",9,"Incorrect paper; authors and title do not match the ground truth."
73,"NOT FOUND",6,"""NOT FOUND"" indicates a failure to retrieve the correct paper.",1,"Perfect match with ground truth."
74,"NOT FOUND",6,"""NOT FOUND"" indicates a failure to retrieve the correct paper.",9,"Incorrect paper; authors and title do not match the ground truth."
75,"Unknown",2,"Correct paper and authors, minor formatting differences in journal name and title.",9,"Incorrect paper; authors and title do not match the ground truth."
76,"Unknown",2,"Correct paper and authors, minor formatting differences in booktitle and year.",9,"Incorrect paper; authors and title do not match the ground truth."
77,"NOT FOUND",6,"""NOT FOUND"" with a note about multiple authors named Meng.",9,"Incorrect paper; authors and title do not match the ground truth."
78,"Unknown",2,"Correct paper and authors, minor formatting differences in booktitle and year.",9,"Incorrect paper; authors and title do not match the ground truth."
79,"Unknown",2,"Correct paper and authors, minor formatting differences in journal name and title.",9,"Incorrect paper; authors and title do not match the ground truth."
80,"NOT FOUND",2,"Correct paper and authors, minor formatting differences in journal name and title.",10,"""NOT FOUND"" with a note about connection errors."
81,"Lu energy25",9,"Wrong paper, different authors and title.",10,"Paper not found, completely fabricated."
82,"that conduct rigorous paper by Satzger",8,"Different paper by a similar author and year, but wrong title.",3,"Correct paper, but authors are slightly different (missing one) and year is off by 4 years."
83,"Tejani comput25",9,"Wrong paper, different authors and title.",2,"Correct paper, minor formatting differences in authors and venue."
84,"Total Outer-Independent Domination Number: Bounds...",8,"Different paper, although it shares one author and the year.",2,"Correct paper, minor formatting differences in authors and venue."
85,"Cai's paper on gin-guided multiobjective from 2025",8,"Different paper, although it shares one author and the year.",2,"Correct paper, minor formatting differences in authors and venue."
86,"Liu's paper on resilient machine from 2021",9,"Wrong paper, different authors and title.",2,"Correct paper, minor formatting differences in authors and venue."
87,"Zdun's j paper on understandability machine",8,"Different paper, although it shares one author and the year.",2,"Correct paper, minor formatting differences in authors and venue."
88,"Hou's machine learning work from 2021",8,"Different paper, although it shares one author and the year.",9,"Wrong paper, different authors and title."
89,"Mallet et al. 2024",9,"Wrong paper, different authors and title.",9,"Wrong paper, different authors and title."
90,"Improving K-Means Clustering: A",8,"Different paper, although it shares one author and the year.",9,"Wrong paper, different authors and title."
91,"Karmore intell25",10,"Paper not found, completely fabricated.",1,"Perfect match."
92,"Human-Hendricks et al. 2023",9,"Wrong paper, different authors and title.",10,"Paper not found, completely fabricated."
93,"Zhang comput25",9,"Wrong paper, different authors and title.",9,"Wrong paper, different authors and title."
94,"Trojovsky's ieee paper on zebra optimization",9,"Wrong paper, different authors and title.",1,"Perfect match."
95,"Zhou et al. 2017",9,"Wrong paper, different authors and title.",8,"Different paper, although it shares one author and the year."
96,"that isoplot database paper by Tsai",9,"Wrong paper, different authors and title.",1,"Perfect match."
97,"Fan et al. 2019",10,"Paper not found, completely fabricated.",8,"Different paper, although it shares one author and the year."
98,"Group's paper on mouse genome from 2017",8,"Different paper, although it shares one author and the year.",8,"Different paper, although it shares one author and the year."
99,"Jones's paper on phytochelatin database from 2019",1,"Perfect match.",9,"Wrong paper, different authors and title."
100,"supervised machine paper by Cukurova 2018",1,"Perfect match.",10,"Paper not found, completely fabricated."
101,"that integrated national paper by Fox",9,"Wrong paper, completely unrelated.",3,"Correct paper identified, but author list is different and some key fields are missing (e.g., DOI, bibsource)."
102,"Tosatto et al. 2018",9,"Wrong paper, completely unrelated.",7,"Correct paper identified, but it's a different paper by one of the authors (Kim instead of Necci) and the venue is incorrect."
103,"Doppa 2018",10,"Not found, fabricated placeholder.",3,"Correct paper identified, but the author list is different and some key fields are missing (e.g., DOI, bibsource)."
104,"that supervised machine paper by Nian",9,"Wrong paper, completely unrelated.",10,"Not found, no entry provided. ```"
