	s	t
DAPK1	0.5709	1.0
DAPK2	0.8569	1.0
DAPK3	0.4815	1.0
DCAMKL1	1.0	0.9424
DCAMKL2	1.0	0.9698
DLK	0.8651	1.0
DMPK1	0.2801	1.0
DNAPK	1.0	0.7398
DRAK1	1.0	0.7971
DSTYK	1.0	0.3824
DYRK1A	1.0	0.7207
DYRK1B	1.0	0.6913
DYRK2	1.0	0.5545
DYRK3	1.0	0.6971
DYRK4	1.0	0.5247
EEF2K	0.2741	1.0
ERK1	1.0	0.7283
ERK2	1.0	0.9355
ERK5	1.0	0.554
ERK7	0.9246	1.0
FAM20C	1.0	0.1276
GAK	0.1898	1.0
GCK	0.249	1.0
GCN2	1.0	0.1607
GRK1	1.0	0.5308
GRK2	1.0	0.7454
GRK3	1.0	0.5184
GRK4	1.0	0.4957
GRK5	1.0	0.6912
GRK6	1.0	0.6269
GRK7	1.0	0.3716
GSK3A	1.0	0.8073
GSK3B	1.0	0.8619
HASPIN	0.3998	1.0
HGK	0.2713	1.0
HIPK1	1.0	0.8801
HIPK2	1.0	0.4499
HIPK3	1.0	0.813
HIPK4	1.0	0.3331
HPK1	0.279	1.0
HRI	0.8061	1.0
HUNK	1.0	0.3647
ICK	0.5705	1.0
IKKA	1.0	0.27
IKKB	1.0	0.1919
IKKE	1.0	0.2779
IRAK1	1.0	0.998
IRAK4	0.8512	1.0
IRE1	1.0	0.4844
IRE2	1.0	0.5616
JNK1	0.8847	1.0
JNK2	0.8429	1.0
JNK3	0.8647	1.0
KHS1	0.2133	1.0
KHS2	0.225	1.0
KIS	1.0	0.0605
LATS1	1.0	0.2017
LATS2	1.0	0.2237
LKB1	0.3252	1.0
LOK	0.3849	1.0
LRRK2	0.2044	1.0
MAK	0.7279	1.0
MAP3K15	0.2695	1.0
MAPKAPK2	1.0	0.2091
MAPKAPK3	1.0	0.3263
MAPKAPK5	1.0	0.2727
MARK1	1.0	0.4995
MARK2	1.0	0.4964
MARK3	1.0	0.403
MARK4	1.0	0.4258
MASTL	1.0	0.6883
MEK1	0.5545	1.0
MEK2	0.2646	1.0
MEK5	0.4437	1.0
MEKK1	0.5287	1.0
MEKK2	0.4177	1.0
MEKK3	0.6219	1.0
MEKK6	0.1814	1.0
MELK	1.0	0.5007
MINK	0.2242	1.0
MLK1	1.0	0.6124
MLK2	1.0	0.9245
MLK3	1.0	0.8933
MLK4	1.0	0.7424
MNK1	1.0	0.3763
MNK2	1.0	0.2507
MOK	0.6936	1.0
MOS	1.0	0.6869
MPSK1	0.4743	1.0
MRCKA	0.6684	1.0
MRCKB	0.7006	1.0
MSK1	1.0	0.3812
MSK2	1.0	0.3039
MST1	0.2429	1.0
MST2	0.2843	1.0
MST3	0.4794	1.0
MST4	1.0	0.4375
MTOR	1.0	0.3124
MYLK4	1.0	0.6036
MYO3A	0.1311	1.0
MYO3B	0.1433	1.0
NDR1	1.0	0.2731
NDR2	1.0	0.1255
NEK1	0.2074	1.0
NEK11	0.421	1.0
NEK2	1.0	0.8705
NEK3	0.4213	1.0
NEK4	0.3442	1.0
NEK5	0.4285	1.0
NEK6	1.0	0.3218
NEK7	1.0	0.3871
NEK8	0.4163	1.0
NEK9	1.0	0.7374
NIK	0.88	1.0
NIM1	1.0	0.2629
NLK	1.0	0.6972
NUAK1	1.0	0.2987
NUAK2	1.0	0.4502
OSR1	0.1768	1.0
P38A	0.8737	1.0
P38B	0.8991	1.0
P38D	1.0	0.9791
P38G	1.0	0.8778
P70S6K	1.0	0.4728
P70S6KB	1.0	0.5021
P90RSK	1.0	0.3223
PAK1	1.0	0.4551
PAK2	1.0	0.59
PAK3	1.0	0.4145
PAK4	1.0	0.2085
PAK5	1.0	0.2646
PAK6	1.0	0.2198
PASK	0.5075	1.0
PBK	0.1756	1.0
PDHK1	1.0	0.4886
PDHK4	1.0	0.464
PDK1	0.3034	1.0
PERK	0.7705	1.0
PHKG1	1.0	0.2991
PHKG2	1.0	0.2887
PIM1	1.0	0.528
PIM2	1.0	0.7998
PIM3	1.0	0.3575
PINK1	1.0	0.9498
PKACA	1.0	0.3311
PKACB	1.0	0.2856
PKACG	1.0	0.2821
PKCA	1.0	0.513
PKCB	1.0	0.4397
PKCD	1.0	0.5622
PKCE	1.0	0.7068
PKCG	1.0	0.3997
PKCH	1.0	0.5497
PKCI	1.0	0.6561
PKCT	1.0	0.5482
PKCZ	1.0	0.5694
PKG1	1.0	0.3347
PKG2	1.0	0.3918
PKN1	1.0	0.5181
PKN2	1.0	0.4771
PKN3	1.0	0.6695
PKR	0.4891	1.0
PLK1	1.0	0.8414
PLK2	1.0	0.9357
PLK3	1.0	0.7098
PLK4	1.0	0.5032
PRKD1	1.0	0.2147
PRKD2	1.0	0.1922
PRKD3	1.0	0.3982
PRKX	1.0	0.1594
PRP4	0.7211	1.0
PRPK	1.0	0.6873
QIK	1.0	0.4446
QSK	1.0	0.382
RAF1	1.0	0.5468
RIPK1	1.0	0.7009
RIPK2	0.8339	1.0
RIPK3	1.0	0.4828
ROCK1	0.4073	1.0
ROCK2	0.3911	1.0
RSK2	1.0	0.2949
RSK3	1.0	0.2448
RSK4	1.0	0.3324
SBK	1.0	0.874
SGK1	1.0	0.9748
SGK3	1.0	0.6665
SIK	1.0	0.3025
SKMLCK	0.9807	1.0
SLK	0.4782	1.0
SMG1	1.0	0.8035
SMMLCK	0.5993	1.0
SNRK	1.0	0.3253
SRPK1	1.0	0.2897
SRPK2	1.0	0.3709
SRPK3	1.0	0.4323
SSTK	1.0	0.6507
STK33	1.0	0.9847
STLK3	0.094	1.0
TAK1	0.1883	1.0
TAO1	0.2465	1.0
TAO2	0.316	1.0
TAO3	0.4381	1.0
TBK1	1.0	0.3107
TGFBR1	0.9834	1.0
TGFBR2	1.0	0.3956
TLK1	0.8739	1.0
TLK2	1.0	0.995
TNIK	0.2278	1.0
TSSK1	1.0	0.5518
TSSK2	1.0	0.6778
TSSK3	1.0	0.3844
TSSK4	1.0	0.4316
TTBK1	1.0	0.4439
TTBK2	1.0	0.4318
TTK	0.1437	1.0
ULK1	1.0	0.2679
ULK2	1.0	0.3319
ULK3	1.0	0.6973
VRK1	0.1762	1.0
VRK2	0.2803	1.0
WNK1	1.0	0.5204
WNK2	1.0	0.7575
WNK3	1.0	0.4479
WNK4	0.8382	1.0
YANK2	0.6321	1.0
YANK3	1.0	0.8985
YSK1	0.2558	1.0
YSK4	0.7907	1.0
ZAK	0.6135	1.0
