id,alias,name
1913,trigger.ZOOM_CAMERA,Zoom Camera Trigger
1914,trigger.STATIC_CAMERA,Static Camera Trigger
1915,trigger.enter_preset.NO_FADE,No Enter Effect Trigger
1916,trigger.OFFSET_CAMERA,Offset Camera Trigger
1917,trigger.REVERSE,Reverse Trigger
1931,trigger.END_WALL,Classic End Trigger
1932,trigger.PLAYER_CONTROL,Player Control Trigger
1933,portal.SWING,Swing Portal
1934,trigger.SONG,Song Trigger
1935,trigger.TIMEWARP,TimeWarp Trigger
2015,trigger.ROTATE_CAMERA,Rotate Camera Trigger
2016,trigger.CAMERA_GUIDE,camera guide
2062,trigger.CAMERA_EDGE,Edge Camera Trigger
2063,trigger.CHECKPOINT,Checkpoint
2064,portal.teleport.EXIT,Unlinked Orange Teleport Portal
2065,PARTICLE_OBJECT,Custom Particles
2066,trigger.GRAVITY,Gravity Trigger
2067,trigger.SCALE,Scale Trigger
2068,trigger.ADV_RANDOM,Advanced Random Trigger
2069,trigger.FORCE_BLOCK,Force Block
2866,modifier.GRAVITY_FLIP,Gravity Flip Modifier
2899,trigger.OPTIONS,Options Trigger
2900,trigger.ARROW,Gameplay Rotation Trigger
2901,trigger.GAMEPLAY_OFFSET,Gameplay Offset Camera Trigger
2902,portal.teleport.ENTER,Unlinked Blue Teleport Portal
2903,trigger.GRADIENT,Gradient Trigger
2904,trigger.shader.OPTIONS,Shader Trigger
2905,trigger.shader.SHOCKWAVE,Shock Wave Shader Trigger
2907,trigger.shader.SHOCKLINE,Shock Line Shader Trigger
2909,trigger.shader.GLITCH,Glitch Shader Trigger
2910,trigger.shader.CHROMATIC,Chromatic Aberration Shader Trigger
2911,trigger.shader.CHROMATIC_GLITCH,Chromatic Glitch Shader Trigger
2912,trigger.shader.PIXELATE,Pixelate Shader Trigger
2913,trigger.shader.LENS_CIRCLE,Lens Circle Shader Trigger
2914,trigger.shader.RADIAL_BLUR,Radial Blur Shader Trigger
2915,trigger.shader.MOTION_BLUR,Motion Blur Shader Trigger
2916,trigger.shader.BULGE,Bulge Shader Trigger
2917,trigger.shader.PINCH,Pinch Shader Trigger
2919,trigger.shader.GRAY_SCALE,Grayscale Shader Trigger
2920,trigger.shader.SEPIA,Sepia Shader Trigger
2921,trigger.shader.INVERT_COLOR,Invert Color Trigger
2922,trigger.shader.HUE,Hue Shader Trigger
2923,trigger.shader.EDIT_COLOR,Edit Color Shader Trigger
2924,trigger.shader.SPLIT_SCREEN,Split Screen Shader Trigger
2925,trigger.CAMERA_MODE,Mode Camera Trigger
2926,portal.GRAVITY_TOGGLE,Green Gravity Portal
2999,trigger.EDIT_MG,Edit Middleground Trigger
3004,orb.SPIDER,Spider Orb
3005,pad.SPIDER,Spider Pad
3006,trigger.area.MOVE,Area Move Trigger
3007,trigger.area.ROTATE,Area Rotate Trigger
3008,trigger.area.SCALE,Area Scale Trigger
3009,trigger.area.FADE,Area Fade Trigger
3010,trigger.area.TINT,Area Tint Trigger
3011,trigger.area.EDIT_MOVE,Edit Area Move Trigger
3012,trigger.area.EDIT_ROTATE,Edit Area Rotate Trigger
3013,trigger.area.EDIT_SCALE,Edit Area Scale Trigger
3014,trigger.area.EDIT_FADE,Edit Area Fade Trigger
3015,trigger.area.EDIT_TINT,Edit Area Tint Trigger
3016,trigger.ADV_FOLLOW,Advanced Follow Trigger
3017,trigger.enter.MOVE,Enter Move Trigger
3018,trigger.enter.ROTATE,Enter Rotate Trigger
3019,trigger.enter.SCALE,Enter Scale Trigger
3020,trigger.enter.FADE,Enter Fade Trigger
3021,trigger.enter.TINT,Enter Tint Trigger
3022,trigger.TELEPORT,Teleport Trigger
3023,trigger.enter.STOP,Enter Stop Trigger
3024,trigger.area.STOP,Area Stop Trigger
3027,orb.TELEPORT,Teleport Orb
3029,trigger.CHANGE_BG,Change Background Trigger
3030,trigger.CHANGE_GR,Change Ground Trigger
3031,trigger.CHANGE_MG,Change Middleground Trigger
3032,trigger.KEYFRAME,keyframe
3033,trigger.ANIMATE_KEYFRAME,Keyframe Animation Trigger
3600,trigger.END,End Trigger
3602,trigger.SFX,SFX Trigger
3603,trigger.EDIT_SFX,Edit SFX Trigger
3604,trigger.EVENT,Event Trigger
3605,trigger.EDIT_SONG,Edit Song Trigger
3606,trigger.BG_SPEED,Background Speed Trigger
3607,trigger.SEQUENCE,Sequence Trigger
3608,trigger.SPAWN_PARTICLE,Spawn Particle Trigger
3609,trigger.INSTANT_COLLISION,Instant Collision Trigger
3612,trigger.MG_SPEED,Middleground Speed Trigger
3613,trigger.UI,UI Trigger
3614,trigger.TIME,Time Trigger
3615,trigger.TIME_EVENT,Time Event Trigger
3617,trigger.TIME_CONTROL,Time Control Trigger
3618,trigger.RESET,Reset Trigger
3619,trigger.ITEM_EDIT,Item Edit Trigger
3620,trigger.ITEM_COMPARE,Item Compare Trigger
3640,trigger.STATE_BLOCK,state block
3641,trigger.ITEM_PERSIST,Persistent Item Setup Trigger
3642,trigger.BPM,BPM Trigger
3643,trigger.TOGGLE_BLOCK,toggle block
3645,trigger.FORCE_CIRCLE,Force Circle
3655,trigger.OBJECT_CONTROL,Object Control
3660,trigger.EDIT_ADV_FOLLOW,Edit Advanced Follow Trigger
3661,trigger.RETARGET_ADV_FOLLOW,Re-Target Advanced Follow Trigger
3662,trigger.LINK_VISIBLE,Link Visible Trigger
